date,record_status,policy,depot,product,tank_capacity_m3,opening_stock_m3,customer_orders_m3,pipeline_receipts_m3,emergency_truck_receipts_m3,dispatch_m3,unfulfilled_demand_m3,closing_stock_m3,safety_stock_m3,reorder_point_m3,days_of_cover,pipeline_line,pipeline_flow_limit_m3_hr,pipeline_available,pump_available,loading_bays_available,loading_capacity_m3,trucks_requested,trucks_loaded,avg_truck_turnaround_min,queue_time_min,delayed_trucks,batch_triggered,batch_volume_m3,emergency_replenishment,holiday_flag,event_label,rainfall_mm,reference_price_kes_l,day_of_week,month,year,stock_status,autonomous_action,capacity_breach_flag,inventory_reconciliation_error
2021-01-11,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11400.68,1129.62,0.0,0.0,1129.62,0.0,10271.05,6138.16,9426.46,9.09,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,60.1,18.1,1,0,0.0,0,0,NORMAL,0.96,114.9,Monday,1,2021,HEALTHY,NONE,0,0
2021-01-12,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10271.05,1118.56,0.0,0.0,1118.56,0.0,9152.49,6138.16,9426.46,8.18,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,51.9,9.9,1,1,8160.0,0,0,NORMAL,1.81,115.54,Tuesday,1,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-01-13,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9152.49,1065.1,0.0,0.0,1065.1,0.0,8087.4,6138.16,9426.46,7.59,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,64.2,22.2,1,0,0.0,0,0,NORMAL,0.27,115.71,Wednesday,1,2021,WATCH,NONE,0,0
2021-01-14,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8087.4,1158.0,8160.0,0.0,1158.0,0.0,15089.4,6138.16,9426.46,13.03,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,62.1,20.1,1,0,0.0,0,0,NORMAL,1.23,116.64,Thursday,1,2021,HEALTHY,NONE,0,0
2021-01-15,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,15089.4,1188.9,0.0,0.0,1188.9,0.0,13900.5,6138.16,9426.46,11.69,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,37.3,0.0,1,0,0.0,0,0,NORMAL,0.36,114.18,Friday,1,2021,HEALTHY,NONE,0,0
2021-01-16,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13900.5,1118.17,0.0,0.0,1118.17,0.0,12782.33,6138.16,9426.46,11.43,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,61.1,19.1,1,0,0.0,0,0,NORMAL,0.99,115.43,Saturday,1,2021,HEALTHY,NONE,0,0
2021-01-17,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12782.33,1031.11,0.0,0.0,1031.11,0.0,11751.21,6138.16,9426.46,11.4,Line 4 (Nairobi-Eldoret),510,1,1,4,3200.0,29,29,95.4,53.4,5,0,0.0,0,0,LOADING_BAY_OUTAGE,0.13,115.14,Sunday,1,2021,HEALTHY,NONE,0,0
2021-01-18,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11751.21,1030.44,0.0,0.0,1030.44,0.0,10720.77,6138.16,9426.46,10.4,Line 4 (Nairobi-Eldoret),510,0,0,5,4000.0,29,29,41.4,0.0,1,0,0.0,0,0,UNPLANNED_PUMP_FAILURE,0.86,115.05,Monday,1,2021,HEALTHY,HOLD/RESCHEDULE_DUE_TO_OUTAGE,0,0
2021-01-19,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10720.77,1216.0,0.0,0.0,1216.0,0.0,9504.77,6138.16,9426.46,7.82,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,34,34,48.3,6.3,1,0,0.0,0,0,DATA_LATENCY_INCIDENT,1.06,115.58,Tuesday,1,2021,HEALTHY,NONE,0,0
2021-01-20,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9504.77,1231.15,0.0,0.0,1231.15,0.0,8273.62,6138.16,9426.46,6.72,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,34,34,71.9,29.9,3,1,8160.0,0,0,NORMAL,0.84,115.34,Wednesday,1,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-01-21,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8273.62,1177.96,0.0,0.0,1177.96,0.0,7095.66,6138.16,9426.46,6.02,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,46.3,4.3,1,0,0.0,0,0,NORMAL,0.63,112.41,Thursday,1,2021,WATCH,NONE,0,0
2021-01-22,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,7095.66,1162.56,8160.0,0.0,1162.56,0.0,14093.11,6138.16,9426.46,12.12,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,53.1,11.1,1,0,0.0,0,0,NORMAL,2.01,114.53,Friday,1,2021,HEALTHY,NONE,0,0
2021-01-23,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14093.11,955.66,0.0,0.0,955.66,0.0,13137.44,6138.16,9426.46,13.75,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,60.0,18.0,1,0,0.0,0,0,NORMAL,1.21,114.61,Saturday,1,2021,HEALTHY,NONE,0,0
2021-01-24,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13137.44,937.38,0.0,0.0,937.38,0.0,12200.07,6138.16,9426.46,13.02,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,26,26,51.6,9.6,1,0,0.0,0,0,NORMAL,1.91,115.19,Sunday,1,2021,HEALTHY,NONE,0,0
2021-01-25,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12200.07,1174.93,0.0,0.0,1174.93,0.0,11025.14,6138.16,9426.46,9.38,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,51.8,9.8,1,0,0.0,0,0,NORMAL,0.82,114.96,Monday,1,2021,HEALTHY,NONE,0,0
2021-01-26,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11025.14,1125.12,0.0,0.0,1125.12,0.0,9900.02,6138.16,9426.46,8.8,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,62.4,20.4,1,0,0.0,0,0,NORMAL,1.7,114.63,Tuesday,1,2021,HEALTHY,NONE,0,0
2021-01-27,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9900.02,1246.48,0.0,0.0,1246.48,0.0,8653.53,6138.16,9426.46,6.94,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,35,35,58.2,16.2,1,1,8160.0,0,0,NORMAL,0.22,113.48,Wednesday,1,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-01-28,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8653.53,1206.46,0.0,0.0,1206.46,0.0,7447.08,6138.16,9426.46,6.17,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,34,34,55.4,13.4,1,0,0.0,0,0,NORMAL,0.08,115.41,Thursday,1,2021,WATCH,NONE,0,0
2021-01-29,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,7447.08,1096.22,0.0,0.0,1096.22,0.0,6350.85,6138.16,9426.46,5.79,Line 4 (Nairobi-Eldoret),510,0,1,5,4000.0,31,31,67.5,25.5,2,0,0.0,0,0,PLANNED_PIPELINE_MAINTENANCE,1.77,112.65,Friday,1,2021,WATCH,HOLD/RESCHEDULE_DUE_TO_OUTAGE,0,0
2021-01-30,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,6350.85,942.8,8160.0,0.0,942.8,0.0,13568.05,6138.16,9426.46,14.39,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,26,26,48.1,6.1,1,0,0.0,0,0,NORMAL,1.44,117.7,Saturday,1,2021,HEALTHY,NONE,0,0
2021-01-31,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13568.05,991.05,0.0,0.0,991.05,0.0,12577.0,6138.16,9426.46,12.69,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,55.2,13.2,1,0,0.0,0,0,NORMAL,0.61,112.97,Sunday,1,2021,HEALTHY,NONE,0,0
2021-02-01,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12577.0,1017.35,0.0,0.0,1017.35,0.0,11559.66,6138.16,9426.46,11.36,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,49.1,7.1,1,0,0.0,0,0,NORMAL,4.37,114.97,Monday,2,2021,HEALTHY,NONE,0,0
2021-02-02,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11559.66,1109.01,0.0,0.0,1109.01,0.0,10450.65,6138.16,9426.46,9.42,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,58.8,16.8,1,0,0.0,0,0,NORMAL,1.11,117.8,Tuesday,2,2021,HEALTHY,NONE,0,0
2021-02-03,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10450.65,1064.03,0.0,0.0,1064.03,0.0,9386.62,6138.16,9426.46,8.82,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,55.7,13.7,1,1,8160.0,0,0,NORMAL,0.38,114.83,Wednesday,2,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-02-04,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9386.62,1050.21,0.0,0.0,1050.21,0.0,8336.4,6138.16,9426.46,7.94,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,56.3,14.3,1,0,0.0,0,0,DATA_LATENCY_INCIDENT,1.27,116.88,Thursday,2,2021,WATCH,NONE,0,0
2021-02-05,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8336.4,982.98,8160.0,0.0,982.98,0.0,15513.43,6138.16,9426.46,15.78,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,65.4,23.4,1,0,0.0,0,0,NORMAL,3.59,115.92,Friday,2,2021,HEALTHY,NONE,0,0
2021-02-06,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,15513.43,1012.29,0.0,0.0,1012.29,0.0,14501.14,6138.16,9426.46,14.33,Line 4 (Nairobi-Eldoret),510,1,1,4,3200.0,28,28,102.5,60.5,6,0,0.0,0,0,LOADING_BAY_OUTAGE,0.52,114.99,Saturday,2,2021,HEALTHY,NONE,0,0
2021-02-07,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14501.14,926.88,0.0,0.0,926.88,0.0,13574.26,6138.16,9426.46,14.65,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,26,26,54.3,12.3,1,0,0.0,0,0,NORMAL,1.5,117.76,Sunday,2,2021,HEALTHY,NONE,0,0
2021-02-08,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13574.26,1093.42,0.0,0.0,1093.42,0.0,12480.84,6138.16,9426.46,11.41,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,66.0,24.0,2,0,0.0,0,0,NORMAL,0.79,116.08,Monday,2,2021,HEALTHY,NONE,0,0
2021-02-09,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12480.84,998.17,0.0,0.0,998.17,0.0,11482.67,6138.16,9426.46,11.5,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,54.4,12.4,1,0,0.0,0,0,NORMAL,0.88,114.66,Tuesday,2,2021,HEALTHY,NONE,0,0
2021-02-10,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11482.67,945.39,0.0,0.0,945.39,0.0,10537.28,6138.16,9426.46,11.15,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,26,26,55.5,13.5,1,0,0.0,0,0,NORMAL,3.25,116.7,Wednesday,2,2021,HEALTHY,NONE,0,0
2021-02-11,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10537.28,1079.56,0.0,0.0,1079.56,0.0,9457.72,6138.16,9426.46,8.76,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,69.9,27.9,2,0,0.0,0,0,NORMAL,1.89,116.12,Thursday,2,2021,HEALTHY,NONE,0,0
2021-02-12,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9457.72,1189.17,0.0,0.0,1189.17,0.0,8268.55,6138.16,9426.46,6.95,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,66.1,24.1,2,1,8160.0,0,0,NORMAL,0.38,117.17,Friday,2,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-02-13,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8268.55,979.38,0.0,0.0,979.38,0.0,7289.17,6138.16,9426.46,7.44,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,58.4,16.4,1,0,0.0,0,0,NORMAL,1.47,115.57,Saturday,2,2021,WATCH,NONE,0,0
2021-02-14,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,7289.17,845.08,8160.0,0.0,845.08,0.0,14604.09,6138.16,9426.46,17.28,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,24,24,56.7,14.7,0,0,0.0,0,0,NORMAL,0.8,115.35,Sunday,2,2021,HEALTHY,NONE,0,0
2021-02-15,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14604.09,997.73,0.0,0.0,997.73,0.0,13606.36,6138.16,9426.46,13.64,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,61.5,19.5,1,0,0.0,0,0,NORMAL,1.59,115.67,Monday,2,2021,HEALTHY,NONE,0,0
2021-02-16,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13606.36,1061.22,0.0,0.0,1061.22,0.0,12545.14,6138.16,9426.46,11.82,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,63.2,21.2,1,0,0.0,0,0,NORMAL,0.26,117.99,Tuesday,2,2021,HEALTHY,NONE,0,0
2021-02-17,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12545.14,1039.32,0.0,0.0,1039.32,0.0,11505.82,6138.16,9426.46,11.07,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,51.2,9.2,1,0,0.0,0,0,NORMAL,0.79,114.8,Wednesday,2,2021,HEALTHY,NONE,0,0
2021-02-18,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11505.82,1085.9,0.0,0.0,1085.9,0.0,10419.92,6138.16,9426.46,9.6,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,62.1,20.1,1,0,0.0,0,0,NORMAL,1.74,117.01,Thursday,2,2021,HEALTHY,NONE,0,0
2021-02-19,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10419.92,1244.68,0.0,0.0,1244.68,0.0,9175.24,6138.16,9426.46,7.37,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,35,35,62.0,20.0,1,1,8160.0,0,0,NORMAL,0.66,115.12,Friday,2,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-02-20,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9175.24,973.59,0.0,0.0,973.59,0.0,8201.65,6138.16,9426.46,8.42,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,46.5,4.5,1,0,0.0,0,0,NORMAL,2.27,115.82,Saturday,2,2021,WATCH,NONE,0,0
2021-02-21,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8201.65,821.34,8160.0,0.0,821.34,0.0,15540.31,6138.16,9426.46,18.92,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,23,23,47.2,5.2,0,0,0.0,0,0,NORMAL,0.81,118.07,Sunday,2,2021,HEALTHY,NONE,0,0
2021-02-22,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,15540.31,978.15,0.0,0.0,978.15,0.0,14562.16,6138.16,9426.46,14.89,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,57.6,15.6,1,0,0.0,0,0,NORMAL,1.61,116.38,Monday,2,2021,HEALTHY,NONE,0,0
2021-02-23,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14562.16,1078.79,0.0,0.0,1078.79,0.0,13483.38,6138.16,9426.46,12.5,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,30,30,55.1,13.1,1,0,0.0,0,0,NORMAL,1.35,116.46,Tuesday,2,2021,HEALTHY,NONE,0,0
2021-02-24,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13483.38,940.2,0.0,0.0,940.2,0.0,12543.17,6138.16,9426.46,13.34,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,26,26,50.8,8.8,1,0,0.0,0,0,NORMAL,4.68,116.4,Wednesday,2,2021,HEALTHY,NONE,0,0
2021-02-25,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12543.17,1135.68,0.0,0.0,1135.68,0.0,11407.49,6138.16,9426.46,10.04,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,57.1,15.1,1,0,0.0,0,0,NORMAL,1.69,115.56,Thursday,2,2021,HEALTHY,NONE,0,0
2021-02-26,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11407.49,1187.11,0.0,0.0,1187.11,0.0,10220.38,6138.16,9426.46,8.61,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,54.2,12.2,1,0,0.0,0,0,NORMAL,0.76,116.52,Friday,2,2021,HEALTHY,NONE,0,0
2021-02-27,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10220.38,972.09,0.0,0.0,972.09,0.0,9248.3,6138.16,9426.46,9.51,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,58.5,16.5,1,1,8160.0,0,0,NORMAL,2.19,116.55,Saturday,2,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-02-28,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9248.3,765.93,0.0,0.0,765.93,0.0,8482.37,6138.16,9426.46,11.07,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,22,22,54.6,12.6,0,0,0.0,0,0,NORMAL,1.31,114.35,Sunday,2,2021,WATCH,NONE,0,0
2021-03-01,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8482.37,1128.17,8160.0,0.0,1128.17,0.0,15514.2,6138.16,9426.46,13.75,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,54.6,12.6,1,0,0.0,0,0,NORMAL,0.86,116.63,Monday,3,2021,HEALTHY,NONE,0,0
2021-03-02,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,15514.2,1165.23,0.0,0.0,1165.23,0.0,14348.96,6138.16,9426.46,12.31,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,57.3,15.3,1,0,0.0,0,0,NORMAL,1.03,115.96,Tuesday,3,2021,HEALTHY,NONE,0,0
2021-03-03,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14348.96,1033.96,0.0,0.0,1033.96,0.0,13315.0,6138.16,9426.46,12.88,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,45.2,3.2,1,0,0.0,0,0,NORMAL,2.62,117.44,Wednesday,3,2021,HEALTHY,NONE,0,0
2021-03-04,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13315.0,1132.63,0.0,0.0,1132.63,0.0,12182.37,6138.16,9426.46,10.76,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,56.0,14.0,1,0,0.0,0,0,NORMAL,0.61,117.31,Thursday,3,2021,HEALTHY,NONE,0,0
2021-03-05,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12182.37,1169.04,0.0,0.0,1169.04,0.0,11013.33,6138.16,9426.46,9.42,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,52.5,10.5,1,0,0.0,0,0,NORMAL,3.6,116.31,Friday,3,2021,HEALTHY,NONE,0,0
2021-03-06,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11013.33,1029.93,0.0,0.0,1029.93,0.0,9983.4,6138.16,9426.46,9.69,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,54.5,12.5,1,0,0.0,0,0,NORMAL,7.65,116.94,Saturday,3,2021,HEALTHY,NONE,0,0
2021-03-07,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9983.4,899.88,0.0,0.0,899.88,0.0,9083.52,6138.16,9426.46,10.09,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,25,25,49.0,7.0,0,1,8160.0,0,0,NORMAL,5.24,118.83,Sunday,3,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-03-08,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,9083.52,1100.47,0.0,0.0,1100.47,0.0,7983.05,6138.16,9426.46,7.25,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,54.2,12.2,1,0,0.0,0,0,NORMAL,1.37,116.86,Monday,3,2021,WATCH,NONE,0,0
2021-03-09,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,7983.05,1146.71,8160.0,0.0,1146.71,0.0,14996.34,6138.16,9426.46,13.08,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,47.8,5.8,1,0,0.0,0,0,NORMAL,2.32,117.25,Tuesday,3,2021,HEALTHY,NONE,0,0
2021-03-10,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14996.34,1032.94,0.0,0.0,1032.94,0.0,13963.4,6138.16,9426.46,13.52,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,65.5,23.5,1,0,0.0,0,0,NORMAL,5.53,117.79,Wednesday,3,2021,HEALTHY,NONE,0,0
2021-03-11,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13963.4,1154.67,0.0,0.0,1154.67,0.0,12808.73,6138.16,9426.46,11.09,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,58.7,16.7,1,0,0.0,0,0,NORMAL,2.7,117.29,Thursday,3,2021,HEALTHY,NONE,0,0
2021-03-12,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12808.73,1216.54,0.0,0.0,1216.54,0.0,11592.2,6138.16,9426.46,9.53,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,34,34,44.2,2.2,1,0,0.0,0,0,NORMAL,2.25,118.49,Friday,3,2021,HEALTHY,NONE,0,0
2021-03-13,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11592.2,992.64,0.0,0.0,992.64,0.0,10599.56,6138.16,9426.46,10.68,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,65.8,23.8,1,0,0.0,0,0,NORMAL,2.57,118.96,Saturday,3,2021,HEALTHY,NONE,0,0
