date,record_status,depot,product,customer_orders_m3,holiday_flag,rainfall_mm,reference_price_kes_l,day_of_week,month,year,demand_lag_1_m3,demand_lag_7_m3,demand_lag_14_m3,demand_lag_28_m3,rolling_7d_mean_m3,rolling_28d_mean_m3,dow_num,dow_sin,dow_cos,month_sin,month_cos,baseline_forecast_m3
2021-01-17,SIMULATED_HISTORY,Eldoret,AGO,1031.11,0,0.13,115.14,Sunday,1,2021,1118.17,981.09,994.27,,1108.49,1127.66,6,-0.781831,0.62349,0.0,1.0,1047.05
2021-01-18,SIMULATED_HISTORY,Eldoret,AGO,1030.44,0,0.86,115.05,Monday,1,2021,1031.11,1129.62,1111.32,,1115.64,1121.98,0,0.0,1.0,0.0,1.0,1126.18
2021-01-19,SIMULATED_HISTORY,Eldoret,AGO,1216.0,0,1.06,115.58,Tuesday,1,2021,1030.44,1118.56,1304.84,,1101.47,1116.89,1,0.781831,0.62349,0.0,1.0,1117.81
2021-01-20,SIMULATED_HISTORY,Eldoret,AGO,1231.15,0,0.84,115.34,Wednesday,1,2021,1216.0,1065.1,1182.01,,1115.39,1122.11,2,0.974928,-0.222521,0.0,1.0,1090.75
2021-01-21,SIMULATED_HISTORY,Eldoret,AGO,1177.96,0,0.63,112.41,Thursday,1,2021,1231.15,1158.0,1162.08,,1139.11,1127.56,3,0.433884,-0.900969,0.0,1.0,1144.3
2021-01-22,SIMULATED_HISTORY,Eldoret,AGO,1162.56,0,2.01,114.53,Friday,1,2021,1177.96,1188.9,1244.58,,1141.96,1129.96,4,-0.433884,-0.900969,0.0,1.0,1162.38
2021-01-23,SIMULATED_HISTORY,Eldoret,AGO,955.66,0,1.21,114.61,Saturday,1,2021,1162.56,1118.17,1036.9,,1138.2,1131.44,5,-0.974928,-0.222521,0.0,1.0,1124.14
2021-01-24,SIMULATED_HISTORY,Eldoret,AGO,937.38,0,1.91,115.19,Sunday,1,2021,955.66,1031.11,981.09,,1114.98,1123.8,6,-0.781831,0.62349,0.0,1.0,1072.82
2021-01-25,SIMULATED_HISTORY,Eldoret,AGO,1174.93,0,0.82,114.96,Monday,1,2021,937.38,1030.44,1129.62,,1101.59,1116.03,0,0.0,1.0,0.0,1.0,1068.96
2021-01-26,SIMULATED_HISTORY,Eldoret,AGO,1125.12,0,1.7,114.63,Tuesday,1,2021,1174.93,1216.0,1118.56,,1122.23,1118.39,1,0.781831,0.62349,0.0,1.0,1172.07
2021-01-27,SIMULATED_HISTORY,Eldoret,AGO,1246.48,0,0.22,113.48,Wednesday,1,2021,1125.12,1231.15,1065.1,,1109.25,1118.65,2,0.974928,-0.222521,0.0,1.0,1180.52
2021-01-28,SIMULATED_HISTORY,Eldoret,AGO,1206.46,0,0.08,115.41,Thursday,1,2021,1246.48,1177.96,1158.0,,1111.44,1123.38,3,0.433884,-0.900969,0.0,1.0,1153.4
2021-01-29,SIMULATED_HISTORY,Eldoret,AGO,1096.22,0,1.77,112.65,Friday,1,2021,1206.46,1162.56,1188.9,1130.43,1115.51,1126.35,4,-0.433884,-0.900969,0.0,1.0,1146.27
2021-01-30,SIMULATED_HISTORY,Eldoret,AGO,942.8,0,1.44,117.7,Saturday,1,2021,1096.22,955.66,1118.17,1116.66,1106.04,1125.13,5,-0.974928,-0.222521,0.0,1.0,1031.92
2021-01-31,SIMULATED_HISTORY,Eldoret,AGO,991.05,0,0.61,112.97,Sunday,1,2021,942.8,937.38,1031.11,994.27,1104.2,1118.92,6,-0.781831,0.62349,0.0,1.0,1019.07
2021-02-01,SIMULATED_HISTORY,Eldoret,AGO,1017.35,0,4.37,114.97,Monday,2,2021,991.05,1174.93,1030.44,1111.32,1111.87,1118.8,0,0.0,1.0,0.5,0.866025,1149.67
2021-02-02,SIMULATED_HISTORY,Eldoret,AGO,1109.01,0,1.11,117.8,Tuesday,2,2021,1017.35,1125.12,1216.0,1304.84,1089.35,1115.45,1,0.781831,0.62349,0.5,0.866025,1120.77
2021-02-03,SIMULATED_HISTORY,Eldoret,AGO,1064.03,0,0.38,114.83,Wednesday,2,2021,1109.01,1246.48,1231.15,1182.01,1087.05,1108.45,2,0.974928,-0.222521,0.5,0.866025,1184.37
2021-02-04,SIMULATED_HISTORY,Eldoret,AGO,1050.21,0,1.27,116.88,Thursday,2,2021,1064.03,1206.46,1177.96,1162.08,1060.99,1104.24,3,0.433884,-0.900969,0.5,0.866025,1160.46
2021-02-05,SIMULATED_HISTORY,Eldoret,AGO,982.98,0,3.59,115.92,Friday,2,2021,1050.21,1096.22,1162.56,1244.58,1038.67,1100.24,4,-0.433884,-0.900969,0.5,0.866025,1098.03
2021-02-06,SIMULATED_HISTORY,Eldoret,AGO,1012.29,0,0.52,114.99,Saturday,2,2021,982.98,942.8,955.66,1036.9,1022.49,1090.9,5,-0.974928,-0.222521,0.5,0.866025,1009.45
2021-02-07,SIMULATED_HISTORY,Eldoret,AGO,926.88,0,1.5,117.76,Sunday,2,2021,1012.29,991.05,937.38,981.09,1032.42,1090.02,6,-0.781831,0.62349,0.5,0.866025,1035.59
2021-02-08,SIMULATED_HISTORY,Eldoret,AGO,1093.42,0,0.79,116.08,Monday,2,2021,926.88,1017.35,1174.93,1129.62,1023.25,1088.09,0,0.0,1.0,0.5,0.866025,1049.18
2021-02-09,SIMULATED_HISTORY,Eldoret,AGO,998.17,0,0.88,114.66,Tuesday,2,2021,1093.42,1109.01,1125.12,1118.56,1034.12,1086.79,1,0.781831,0.62349,0.5,0.866025,1099.01
2021-02-10,SIMULATED_HISTORY,Eldoret,AGO,945.39,0,3.25,116.7,Wednesday,2,2021,998.17,1064.03,1246.48,1065.1,1018.28,1082.49,2,0.974928,-0.222521,0.5,0.866025,1072.34
2021-02-11,SIMULATED_HISTORY,Eldoret,AGO,1079.56,0,1.89,116.12,Thursday,2,2021,945.39,1050.21,1206.46,1158.0,1001.33,1078.22,3,0.433884,-0.900969,0.5,0.866025,1062.81
2021-02-12,SIMULATED_HISTORY,Eldoret,AGO,1189.17,0,0.38,117.17,Friday,2,2021,1079.56,982.98,1096.22,1188.9,1005.53,1075.42,4,-0.433884,-0.900969,0.5,0.866025,1024.58
2021-02-13,SIMULATED_HISTORY,Eldoret,AGO,979.38,0,1.47,115.57,Saturday,2,2021,1189.17,1012.29,942.8,1118.17,1034.98,1075.43,5,-0.974928,-0.222521,0.5,0.866025,1040.7
2021-02-14,SIMULATED_HISTORY,Eldoret,AGO,845.08,0,0.8,115.35,Sunday,2,2021,979.38,926.88,991.05,1031.11,1030.28,1070.47,6,-0.781831,0.62349,0.5,0.866025,991.5
2021-02-15,SIMULATED_HISTORY,Eldoret,AGO,997.73,0,1.59,115.67,Monday,2,2021,845.08,1093.42,1017.35,1030.44,1018.6,1063.83,0,0.0,1.0,0.5,0.866025,1080.1
2021-02-16,SIMULATED_HISTORY,Eldoret,AGO,1061.22,0,0.26,117.99,Tuesday,2,2021,997.73,998.17,1109.01,1216.0,1004.93,1062.66,1,0.781831,0.62349,0.5,0.866025,1027.19
2021-02-17,SIMULATED_HISTORY,Eldoret,AGO,1039.32,0,0.79,114.8,Wednesday,2,2021,1061.22,945.39,1064.03,1231.15,1013.93,1057.13,2,0.974928,-0.222521,0.5,0.866025,995.67
2021-02-18,SIMULATED_HISTORY,Eldoret,AGO,1085.9,0,1.74,117.01,Thursday,2,2021,1039.32,1079.56,1050.21,1177.96,1027.35,1050.28,3,0.433884,-0.900969,0.5,0.866025,1066.38
2021-02-19,SIMULATED_HISTORY,Eldoret,AGO,1244.68,0,0.66,115.12,Friday,2,2021,1085.9,1189.17,982.98,1162.56,1028.26,1046.99,4,-0.433884,-0.900969,0.5,0.866025,1125.19
2021-02-20,SIMULATED_HISTORY,Eldoret,AGO,973.59,0,2.27,115.82,Saturday,2,2021,1244.68,979.38,1012.29,955.66,1036.19,1049.92,5,-0.974928,-0.222521,0.5,0.866025,1011.12
2021-02-21,SIMULATED_HISTORY,Eldoret,AGO,821.34,0,0.81,118.07,Sunday,2,2021,973.59,845.08,926.88,937.38,1035.36,1050.56,6,-0.781831,0.62349,0.5,0.866025,937.55
2021-02-22,SIMULATED_HISTORY,Eldoret,AGO,978.15,0,1.61,116.38,Monday,2,2021,821.34,997.73,1093.42,1174.93,1031.97,1046.42,0,0.0,1.0,0.5,0.866025,1019.64
2021-02-23,SIMULATED_HISTORY,Eldoret,AGO,1078.79,0,1.35,116.46,Tuesday,2,2021,978.15,1061.22,998.17,1125.12,1029.17,1039.39,1,0.781831,0.62349,0.5,0.866025,1051.4
2021-02-24,SIMULATED_HISTORY,Eldoret,AGO,940.2,0,4.68,116.4,Wednesday,2,2021,1078.79,1039.32,945.39,1246.48,1031.68,1037.74,2,0.974928,-0.222521,0.5,0.866025,1038.61
2021-02-25,SIMULATED_HISTORY,Eldoret,AGO,1135.68,0,1.69,115.56,Thursday,2,2021,940.2,1085.9,1079.56,1206.46,1017.52,1026.8,3,0.433884,-0.900969,0.5,0.866025,1059.3
2021-02-26,SIMULATED_HISTORY,Eldoret,AGO,1187.11,0,0.76,116.52,Friday,2,2021,1135.68,1244.68,1189.17,1096.22,1024.63,1024.27,4,-0.433884,-0.900969,0.5,0.866025,1145.5
2021-02-27,SIMULATED_HISTORY,Eldoret,AGO,972.09,0,2.19,116.55,Saturday,2,2021,1187.11,973.59,979.38,942.8,1016.41,1027.52,5,-0.974928,-0.222521,0.5,0.866025,997.86
2021-02-28,SIMULATED_HISTORY,Eldoret,AGO,765.93,0,1.31,114.35,Sunday,2,2021,972.09,821.34,845.08,991.05,1016.19,1028.56,6,-0.781831,0.62349,0.5,0.866025,914.59
2021-03-01,SIMULATED_HISTORY,Eldoret,AGO,1128.17,0,0.86,116.63,Monday,3,2021,765.93,978.15,997.73,1017.35,1008.28,1020.52,0,0.0,1.0,0.866025,0.5,997.22
2021-03-02,SIMULATED_HISTORY,Eldoret,AGO,1165.23,0,1.03,115.96,Tuesday,3,2021,1128.17,1078.79,1061.22,1109.01,1029.71,1024.48,1,0.781831,0.62349,0.866025,0.5,1054.35
2021-03-03,SIMULATED_HISTORY,Eldoret,AGO,1033.96,0,2.62,117.44,Wednesday,3,2021,1165.23,940.2,1039.32,1064.03,1042.06,1026.49,2,0.974928,-0.222521,0.866025,0.5,979.03
2021-03-04,SIMULATED_HISTORY,Eldoret,AGO,1132.63,0,0.61,117.31,Thursday,3,2021,1033.96,1135.68,1085.9,1050.21,1055.45,1025.42,3,0.433884,-0.900969,0.866025,0.5,1086.06
2021-03-05,SIMULATED_HISTORY,Eldoret,AGO,1169.04,0,3.6,116.31,Friday,3,2021,1132.63,1187.11,1244.68,982.98,1055.02,1028.36,4,-0.433884,-0.900969,0.866025,0.5,1115.67
2021-03-06,SIMULATED_HISTORY,Eldoret,AGO,1029.93,0,7.65,116.94,Saturday,3,2021,1169.04,972.09,973.59,1012.29,1052.44,1035.0,5,-0.974928,-0.222521,0.866025,0.5,1000.4
2021-03-07,SIMULATED_HISTORY,Eldoret,AGO,899.88,0,5.24,118.83,Sunday,3,2021,1029.93,765.93,821.34,926.88,1060.7,1035.63,6,-0.781831,0.62349,0.866025,0.5,887.3
2021-03-08,SIMULATED_HISTORY,Eldoret,AGO,1100.47,0,1.37,116.86,Monday,3,2021,899.88,1128.17,978.15,1093.42,1079.83,1034.67,0,0.0,1.0,0.866025,0.5,1086.09
2021-03-09,SIMULATED_HISTORY,Eldoret,AGO,1146.71,0,2.32,117.25,Tuesday,3,2021,1100.47,1165.23,1078.79,998.17,1075.88,1034.92,1,0.781831,0.62349,0.866025,0.5,1106.59
2021-03-10,SIMULATED_HISTORY,Eldoret,AGO,1032.94,0,5.53,117.79,Wednesday,3,2021,1146.71,1033.96,940.2,945.39,1073.23,1040.23,2,0.974928,-0.222521,0.866025,0.5,1036.78
2021-03-11,SIMULATED_HISTORY,Eldoret,AGO,1154.67,0,2.7,117.29,Thursday,3,2021,1032.94,1132.63,1135.68,1079.56,1073.09,1043.35,3,0.433884,-0.900969,0.866025,0.5,1092.46
2021-03-12,SIMULATED_HISTORY,Eldoret,AGO,1216.54,0,2.25,118.49,Friday,3,2021,1154.67,1169.04,1187.11,1189.17,1076.23,1046.04,4,-0.433884,-0.900969,0.866025,0.5,1113.69
2021-03-13,SIMULATED_HISTORY,Eldoret,AGO,992.64,0,2.57,118.96,Saturday,3,2021,1216.54,1029.93,972.09,979.38,1083.02,1047.01,5,-0.974928,-0.222521,0.866025,0.5,1037.62
2021-03-14,SIMULATED_HISTORY,Eldoret,AGO,991.75,0,0.63,118.24,Sunday,3,2021,992.64,899.88,765.93,845.08,1077.69,1047.49,6,-0.781831,0.62349,0.866025,0.5,966.3
2021-03-15,SIMULATED_HISTORY,Eldoret,AGO,1045.86,0,0.28,118.53,Monday,3,2021,991.75,1100.47,1128.17,997.73,1090.82,1052.72,0,0.0,1.0,0.866025,0.5,1078.98
2021-03-16,SIMULATED_HISTORY,Eldoret,AGO,1124.63,0,2.73,118.79,Tuesday,3,2021,1045.86,1146.71,1165.23,1061.22,1083.02,1054.44,1,0.781831,0.62349,0.866025,0.5,1105.19
2021-03-17,SIMULATED_HISTORY,Eldoret,AGO,1171.12,0,5.33,117.71,Wednesday,3,2021,1124.63,1032.94,1033.96,1039.32,1079.86,1056.71,2,0.974928,-0.222521,0.866025,0.5,1043.64
2021-03-18,SIMULATED_HISTORY,Eldoret,AGO,1030.45,0,6.69,118.62,Thursday,3,2021,1171.12,1154.67,1132.63,1085.9,1099.6,1061.42,3,0.433884,-0.900969,0.866025,0.5,1112.71
2021-03-19,SIMULATED_HISTORY,Eldoret,AGO,1209.77,0,2.16,117.28,Friday,3,2021,1030.45,1216.54,1169.04,1244.68,1081.86,1059.44,4,-0.433884,-0.900969,0.866025,0.5,1145.84
2021-03-20,SIMULATED_HISTORY,Eldoret,AGO,1054.34,0,1.7,117.67,Saturday,3,2021,1209.77,992.64,1029.93,973.59,1080.89,1058.19,5,-0.974928,-0.222521,0.866025,0.5,1022.14
2021-03-21,SIMULATED_HISTORY,Eldoret,AGO,905.18,0,0.92,115.36,Sunday,3,2021,1054.34,991.75,899.88,821.34,1089.7,1061.07,6,-0.781831,0.62349,0.866025,0.5,1022.94
2021-03-22,SIMULATED_HISTORY,Eldoret,AGO,1071.3,0,2.43,119.45,Monday,3,2021,905.18,1045.86,1100.47,978.15,1077.34,1064.07,0,0.0,1.0,0.866025,0.5,1054.05
2021-03-23,SIMULATED_HISTORY,Eldoret,AGO,1237.92,0,2.04,118.22,Tuesday,3,2021,1071.3,1124.63,1146.71,1078.79,1080.97,1067.39,1,0.781831,0.62349,0.866025,0.5,1098.87
2021-03-24,SIMULATED_HISTORY,Eldoret,AGO,1096.14,0,1.28,115.18,Wednesday,3,2021,1237.92,1171.12,1032.94,940.2,1097.15,1073.08,2,0.974928,-0.222521,0.866025,0.5,1127.0
2021-03-25,SIMULATED_HISTORY,Eldoret,AGO,1167.23,0,1.74,118.83,Thursday,3,2021,1096.14,1030.45,1154.67,1135.68,1086.44,1078.65,3,0.433884,-0.900969,0.866025,0.5,1052.14
2021-03-26,SIMULATED_HISTORY,Eldoret,AGO,1255.67,0,7.88,119.69,Friday,3,2021,1167.23,1209.77,1216.54,1187.11,1105.98,1079.77,4,-0.433884,-0.900969,0.866025,0.5,1151.27
2021-03-27,SIMULATED_HISTORY,Eldoret,AGO,1130.56,0,2.39,115.0,Saturday,3,2021,1255.67,1054.34,992.64,972.09,1112.54,1082.22,5,-0.974928,-0.222521,0.866025,0.5,1066.89
2021-03-28,SIMULATED_HISTORY,Eldoret,AGO,896.55,0,1.17,118.45,Sunday,3,2021,1130.56,905.18,991.75,765.93,1123.43,1087.88,6,-0.781831,0.62349,0.866025,0.5,987.4
2021-03-29,SIMULATED_HISTORY,Eldoret,AGO,1083.68,0,2.64,117.94,Monday,3,2021,896.55,1071.3,1045.86,1128.17,1122.2,1092.55,0,0.0,1.0,0.866025,0.5,1080.86
2021-03-30,SIMULATED_HISTORY,Eldoret,AGO,1141.27,0,2.14,117.03,Tuesday,3,2021,1083.68,1237.92,1124.63,1165.23,1123.96,1090.96,1,0.781831,0.62349,0.866025,0.5,1171.79
2021-03-31,SIMULATED_HISTORY,Eldoret,AGO,1203.76,0,1.12,118.47,Wednesday,3,2021,1141.27,1096.14,1171.12,1033.96,1110.16,1090.1,2,0.974928,-0.222521,0.866025,0.5,1093.42
2021-04-01,SIMULATED_HISTORY,Eldoret,AGO,1130.98,0,1.05,118.71,Thursday,4,2021,1203.76,1167.23,1030.45,1132.63,1125.53,1096.17,3,0.433884,-0.900969,1.0,0.0,1135.25
2021-04-02,SIMULATED_HISTORY,Eldoret,AGO,1149.25,1,1.51,117.62,Friday,4,2021,1130.98,1255.67,1209.77,1169.04,1120.35,1096.11,4,-0.433884,-0.900969,1.0,0.0,1183.87
2021-04-03,SIMULATED_HISTORY,Eldoret,AGO,1062.07,0,0.09,119.14,Saturday,4,2021,1149.25,1130.56,1054.34,1029.93,1105.15,1095.4,5,-0.974928,-0.222521,1.0,0.0,1114.74
2021-04-04,SIMULATED_HISTORY,Eldoret,AGO,887.44,0,0.01,118.48,Sunday,4,2021,1062.07,896.55,905.18,899.88,1095.37,1096.55,6,-0.781831,0.62349,1.0,0.0,986.55
2021-04-05,SIMULATED_HISTORY,Eldoret,AGO,1136.95,1,1.44,118.79,Monday,4,2021,887.44,1083.68,1071.3,1100.47,1094.06,1096.1,0,0.0,1.0,1.0,0.0,1089.27
2021-04-06,SIMULATED_HISTORY,Eldoret,AGO,1118.56,0,5.13,117.01,Tuesday,4,2021,1136.95,1141.27,1237.92,1146.71,1101.67,1097.41,1,0.781831,0.62349,1.0,0.0,1121.53
2021-04-07,SIMULATED_HISTORY,Eldoret,AGO,1146.2,0,2.28,116.88,Wednesday,4,2021,1118.56,1203.76,1096.14,1032.94,1098.43,1096.4,2,0.974928,-0.222521,1.0,0.0,1155.45
2021-04-08,SIMULATED_HISTORY,Eldoret,AGO,1135.53,0,1.29,119.26,Thursday,4,2021,1146.2,1130.98,1167.23,1154.67,1090.21,1100.45,3,0.433884,-0.900969,1.0,0.0,1117.24
2021-04-09,SIMULATED_HISTORY,Eldoret,AGO,1243.43,0,1.81,117.23,Friday,4,2021,1135.53,1149.25,1255.67,1216.54,1090.86,1099.76,4,-0.433884,-0.900969,1.0,0.0,1126.98
2021-04-10,SIMULATED_HISTORY,Eldoret,AGO,1135.92,0,4.4,118.25,Saturday,4,2021,1243.43,1062.07,1130.56,992.64,1104.31,1100.72,5,-0.974928,-0.222521,1.0,0.0,1079.46
2021-04-11,SIMULATED_HISTORY,Eldoret,AGO,921.22,0,4.44,115.9,Sunday,4,2021,1135.92,887.44,896.55,991.75,1114.86,1105.84,6,-0.781831,0.62349,1.0,0.0,985.72
2021-04-12,SIMULATED_HISTORY,Eldoret,AGO,1077.74,0,0.29,119.51,Monday,4,2021,921.22,1136.95,1083.68,1045.86,1119.69,1103.32,0,0.0,1.0,1.0,0.0,1121.82
2021-04-13,SIMULATED_HISTORY,Eldoret,AGO,1237.92,0,8.8,117.01,Tuesday,4,2021,1077.74,1118.56,1141.27,1124.63,1111.23,1104.46,1,0.781831,0.62349,1.0,0.0,1112.21
2021-04-14,SIMULATED_HISTORY,Eldoret,AGO,1137.17,0,3.32,119.99,Wednesday,4,2021,1237.92,1146.2,1203.76,1171.12,1128.28,1108.51,2,0.974928,-0.222521,1.0,0.0,1129.24
2021-04-15,SIMULATED_HISTORY,Eldoret,AGO,1102.6,0,7.31,117.43,Thursday,4,2021,1137.17,1135.53,1130.98,1030.45,1126.99,1107.29,3,0.433884,-0.900969,1.0,0.0,1122.82
2021-04-16,SIMULATED_HISTORY,Eldoret,AGO,1076.7,0,4.28,119.26,Friday,4,2021,1102.6,1243.43,1149.25,1209.77,1122.29,1109.87,4,-0.433884,-0.900969,1.0,0.0,1183.33
2021-04-17,SIMULATED_HISTORY,Eldoret,AGO,1058.3,0,0.32,116.88,Saturday,4,2021,1076.7,1135.92,1062.07,1054.34,1098.47,1105.12,5,-0.974928,-0.222521,1.0,0.0,1122.06
2021-04-18,SIMULATED_HISTORY,Eldoret,AGO,935.48,0,1.61,117.17,Sunday,4,2021,1058.3,921.22,887.44,905.18,1087.38,1105.26,6,-0.781831,0.62349,1.0,0.0,1004.04
2021-04-19,SIMULATED_HISTORY,Eldoret,AGO,1030.15,0,0.31,119.33,Monday,4,2021,935.48,1077.74,1136.95,1071.3,1089.42,1106.34,0,0.0,1.0,1.0,0.0,1090.61
2021-04-20,SIMULATED_HISTORY,Eldoret,AGO,1170.24,0,2.24,116.66,Tuesday,4,2021,1030.15,1237.92,1118.56,1237.92,1082.62,1104.87,1,0.781831,0.62349,1.0,0.0,1178.05
2021-04-21,SIMULATED_HISTORY,Eldoret,AGO,1141.07,0,0.54,118.06,Wednesday,4,2021,1170.24,1137.17,1146.2,1096.14,1072.95,1102.45,2,0.974928,-0.222521,1.0,0.0,1121.55
2021-04-22,SIMULATED_HISTORY,Eldoret,AGO,1182.01,0,1.55,117.93,Thursday,4,2021,1141.07,1102.6,1135.53,1167.23,1073.51,1104.06,3,0.433884,-0.900969,1.0,0.0,1103.26
2021-04-23,SIMULATED_HISTORY,Eldoret,AGO,1261.23,0,5.81,118.27,Friday,4,2021,1182.01,1076.7,1243.43,1255.67,1084.85,1104.59,4,-0.433884,-0.900969,1.0,0.0,1089.25
2021-04-24,SIMULATED_HISTORY,Eldoret,AGO,1024.2,0,2.87,117.98,Saturday,4,2021,1261.23,1058.3,1135.92,1130.56,1111.21,1104.79,5,-0.974928,-0.222521,1.0,0.0,1079.22
2021-04-25,SIMULATED_HISTORY,Eldoret,AGO,870.3,0,5.32,118.83,Sunday,4,2021,1024.2,935.48,921.22,896.55,1106.34,1100.99,6,-0.781831,0.62349,1.0,0.0,1009.96
2021-04-26,SIMULATED_HISTORY,Eldoret,AGO,1184.08,0,3.26,116.41,Monday,4,2021,870.3,1030.15,1077.74,1083.68,1097.03,1100.05,0,0.0,1.0,1.0,0.0,1061.6
2021-04-27,SIMULATED_HISTORY,Eldoret,AGO,1253.48,0,0.48,120.34,Tuesday,4,2021,1184.08,1170.24,1237.92,1141.27,1119.02,1103.63,1,0.781831,0.62349,1.0,0.0,1140.27
2021-04-28,SIMULATED_HISTORY,Eldoret,AGO,1096.92,0,0.46,118.89,Wednesday,4,2021,1253.48,1141.07,1137.17,1203.76,1130.91,1107.64,2,0.974928,-0.222521,1.0,0.0,1126.03
2021-04-29,SIMULATED_HISTORY,Eldoret,AGO,1082.65,0,1.85,119.76,Thursday,4,2021,1096.92,1182.01,1102.6,1130.98,1124.6,1103.83,3,0.433884,-0.900969,1.0,0.0,1146.83
2021-04-30,SIMULATED_HISTORY,Eldoret,AGO,1048.29,0,2.72,117.77,Friday,4,2021,1082.65,1261.23,1076.7,1149.25,1110.41,1102.1,4,-0.433884,-0.900969,1.0,0.0,1189.62
2021-05-01,SIMULATED_HISTORY,Eldoret,AGO,1052.1,1,0.8,118.6,Saturday,5,2021,1048.29,1024.2,1058.3,1062.07,1079.99,1098.49,5,-0.974928,-0.222521,0.866025,-0.5,1057.63
2021-05-02,SIMULATED_HISTORY,Eldoret,AGO,999.38,0,1.74,117.19,Sunday,5,2021,1052.1,870.3,935.48,887.44,1083.97,1098.14,6,-0.781831,0.62349,0.866025,-0.5,972.83
2021-05-03,SIMULATED_HISTORY,Eldoret,AGO,1176.23,0,1.86,117.7,Monday,5,2021,999.38,1184.08,1030.15,1136.95,1102.41,1102.14,0,0.0,1.0,0.866025,-0.5,1147.21
2021-05-04,SIMULATED_HISTORY,Eldoret,AGO,1213.38,0,8.49,116.39,Tuesday,5,2021,1176.23,1253.48,1170.24,1118.56,1101.29,1103.54,1,0.781831,0.62349,0.866025,-0.5,1186.01
2021-05-05,SIMULATED_HISTORY,Eldoret,AGO,1156.04,0,1.82,117.0,Wednesday,5,2021,1213.38,1096.92,1141.07,1146.2,1095.56,1106.93,2,0.974928,-0.222521,0.866025,-0.5,1101.42
2021-05-06,SIMULATED_HISTORY,Eldoret,AGO,1293.81,0,1.13,119.42,Thursday,5,2021,1156.04,1082.65,1182.01,1135.53,1104.01,1107.28,3,0.433884,-0.900969,0.866025,-0.5,1093.73
