batch_id,policy,trigger_date,origin,destination,product,pipeline_line,flow_limit_m3_hr,scheduled_volume_m3,scheduled_arrival_date,actual_arrival_date,delay_days,delivered_volume_m3,reason,automated_trigger,status
AUT-B-000018,AUTONOMOUS,2021-05-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-05-15,2021-05-15,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000019,AUTONOMOUS,2021-05-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-05-22,2021-05-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000020,AUTONOMOUS,2021-05-28,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-05-30,2021-05-30,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000021,AUTONOMOUS,2021-06-05,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-06-07,2021-06-07,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000022,AUTONOMOUS,2021-06-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-06-15,2021-06-16,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000023,AUTONOMOUS,2021-06-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-06-23,2021-06-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000024,AUTONOMOUS,2021-06-29,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-07-01,2021-07-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000025,AUTONOMOUS,2021-07-06,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-07-08,2021-07-08,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000026,AUTONOMOUS,2021-07-14,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-07-16,2021-07-16,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000027,AUTONOMOUS,2021-07-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-07-23,2021-07-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000028,AUTONOMOUS,2021-07-28,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-07-30,2021-07-30,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000029,AUTONOMOUS,2021-08-05,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-08-07,2021-08-07,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000030,AUTONOMOUS,2021-08-12,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-08-14,2021-08-14,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000031,AUTONOMOUS,2021-08-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-08-22,2021-08-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000032,AUTONOMOUS,2021-08-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-08-29,2021-08-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000033,AUTONOMOUS,2021-09-04,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-09-06,2021-09-06,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000034,AUTONOMOUS,2021-09-11,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-09-13,2021-09-13,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000035,AUTONOMOUS,2021-09-19,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-09-21,2021-09-21,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000036,AUTONOMOUS,2021-09-26,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-09-28,2021-09-28,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000037,AUTONOMOUS,2021-10-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-10-05,2021-10-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000038,AUTONOMOUS,2021-10-09,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-10-11,2021-10-11,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000039,AUTONOMOUS,2021-10-16,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-10-18,2021-10-18,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000040,AUTONOMOUS,2021-10-22,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-10-24,2021-10-24,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000041,AUTONOMOUS,2021-10-28,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-10-30,2021-10-30,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000042,AUTONOMOUS,2021-11-04,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-11-06,2021-11-06,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000043,AUTONOMOUS,2021-11-12,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-11-14,2021-11-14,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000044,AUTONOMOUS,2021-11-19,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-11-21,2021-11-21,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000045,AUTONOMOUS,2021-11-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-11-29,2021-11-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000046,AUTONOMOUS,2021-12-04,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-12-06,2021-12-06,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000047,AUTONOMOUS,2021-12-11,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-12-13,2021-12-13,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000048,AUTONOMOUS,2021-12-19,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-12-21,2021-12-21,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000049,AUTONOMOUS,2021-12-26,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-12-28,2021-12-28,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000050,AUTONOMOUS,2022-01-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-01-05,2022-01-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000051,AUTONOMOUS,2022-01-10,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-01-12,2022-01-12,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000052,AUTONOMOUS,2022-01-17,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-01-19,2022-01-19,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000053,AUTONOMOUS,2022-01-24,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-01-26,2022-01-26,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000054,AUTONOMOUS,2022-01-31,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-02-02,2022-02-02,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000055,AUTONOMOUS,2022-02-07,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-02-09,2022-02-09,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000056,AUTONOMOUS,2022-02-15,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-02-17,2022-02-17,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000057,AUTONOMOUS,2022-02-23,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-02-25,2022-02-25,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000058,AUTONOMOUS,2022-03-02,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-03-04,2022-03-04,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000059,AUTONOMOUS,2022-03-10,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-03-12,2022-03-12,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000060,AUTONOMOUS,2022-03-17,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-03-19,2022-03-19,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000061,AUTONOMOUS,2022-03-24,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-03-26,2022-03-26,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000062,AUTONOMOUS,2022-03-31,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-04-02,2022-04-02,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000063,AUTONOMOUS,2022-04-07,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-04-09,2022-04-09,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000064,AUTONOMOUS,2022-04-14,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-04-16,2022-04-16,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000065,AUTONOMOUS,2022-04-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-04-23,2022-04-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000066,AUTONOMOUS,2022-04-29,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-05-01,2022-05-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000067,AUTONOMOUS,2022-05-06,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-05-08,2022-05-08,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000068,AUTONOMOUS,2022-05-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-05-15,2022-05-15,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000069,AUTONOMOUS,2022-05-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-05-22,2022-05-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000070,AUTONOMOUS,2022-05-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-05-29,2022-05-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000071,AUTONOMOUS,2022-06-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-06-05,2022-06-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000072,AUTONOMOUS,2022-06-11,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-06-13,2022-06-14,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000073,AUTONOMOUS,2022-06-18,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-06-20,2022-06-20,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000074,AUTONOMOUS,2022-06-26,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-06-28,2022-06-29,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000075,AUTONOMOUS,2022-07-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-07-05,2022-07-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000076,AUTONOMOUS,2022-07-10,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-07-12,2022-07-12,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000077,AUTONOMOUS,2022-07-17,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-07-19,2022-07-19,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000078,AUTONOMOUS,2022-07-25,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-07-27,2022-07-28,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000079,AUTONOMOUS,2022-08-01,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-08-03,2022-08-03,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000080,AUTONOMOUS,2022-08-08,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-08-10,2022-08-10,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000081,AUTONOMOUS,2022-08-15,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-08-17,2022-08-17,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000082,AUTONOMOUS,2022-08-23,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-08-25,2022-08-25,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000083,AUTONOMOUS,2022-08-30,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-09-01,2022-09-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000084,AUTONOMOUS,2022-09-06,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-09-08,2022-09-08,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000085,AUTONOMOUS,2022-09-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-09-15,2022-09-15,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000086,AUTONOMOUS,2022-09-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-09-22,2022-09-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000087,AUTONOMOUS,2022-09-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-09-29,2022-09-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000088,AUTONOMOUS,2022-10-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-10-05,2022-10-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000089,AUTONOMOUS,2022-10-09,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-10-11,2022-10-11,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000090,AUTONOMOUS,2022-10-15,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-10-17,2022-10-17,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000091,AUTONOMOUS,2022-10-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-10-23,2022-10-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000092,AUTONOMOUS,2022-10-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-10-29,2022-10-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000093,AUTONOMOUS,2022-11-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-11-05,2022-11-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000094,AUTONOMOUS,2022-11-10,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-11-12,2022-11-12,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000095,AUTONOMOUS,2022-11-17,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-11-19,2022-11-19,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000096,AUTONOMOUS,2022-11-24,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-11-26,2022-11-26,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000097,AUTONOMOUS,2022-12-01,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-12-03,2022-12-03,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000098,AUTONOMOUS,2022-12-08,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-12-10,2022-12-10,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000099,AUTONOMOUS,2022-12-15,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-12-17,2022-12-17,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000100,AUTONOMOUS,2022-12-23,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2022-12-25,2022-12-25,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000101,AUTONOMOUS,2022-12-30,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-01-01,2023-01-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000102,AUTONOMOUS,2023-01-06,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-01-08,2023-01-08,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000103,AUTONOMOUS,2023-01-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-01-15,2023-01-15,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000104,AUTONOMOUS,2023-01-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-01-22,2023-01-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000105,AUTONOMOUS,2023-01-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-01-29,2023-01-29,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000106,AUTONOMOUS,2023-02-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-02-05,2023-02-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000107,AUTONOMOUS,2023-02-11,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-02-13,2023-02-13,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000108,AUTONOMOUS,2023-02-19,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-02-21,2023-02-21,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000109,AUTONOMOUS,2023-02-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-03-01,2023-03-02,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000110,AUTONOMOUS,2023-03-07,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-03-09,2023-03-09,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000111,AUTONOMOUS,2023-03-14,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-03-16,2023-03-16,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000112,AUTONOMOUS,2023-03-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-03-23,2023-03-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000113,AUTONOMOUS,2023-03-29,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-03-31,2023-03-31,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000114,AUTONOMOUS,2023-04-05,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-04-07,2023-04-07,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000115,AUTONOMOUS,2023-04-12,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2023-04-14,2023-04-14,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
