event_id,depot,event_type,severity,start_date,end_date,duration_days,impact_percent,source_type
EV-NAI-2022-00021,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2022-11-23,2022-11-23,1,35,SYNTHETIC_SCENARIO
EV-NAI-2022-00022,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2022-05-28,2022-05-28,1,35,SYNTHETIC_SCENARIO
EV-NAI-2022-00023,Nairobi,DATA_LATENCY_INCIDENT,LOW,2022-03-10,2022-03-10,1,0,SYNTHETIC_SCENARIO
EV-NAI-2022-00024,Nairobi,DATA_LATENCY_INCIDENT,LOW,2022-08-13,2022-08-13,1,0,SYNTHETIC_SCENARIO
EV-NAI-2023-00025,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-03-25,2023-03-25,1,100,SYNTHETIC_SCENARIO
EV-NAI-2023-00026,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-05-03,2023-05-03,1,100,SYNTHETIC_SCENARIO
EV-NAI-2023-00027,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2023-09-01,2023-09-01,1,100,SYNTHETIC_SCENARIO
EV-NAI-2023-00028,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2023-12-12,2023-12-12,1,100,SYNTHETIC_SCENARIO
EV-NAI-2023-00029,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2023-05-30,2023-05-30,1,100,SYNTHETIC_SCENARIO
EV-NAI-2023-00030,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2023-10-11,2023-10-11,1,35,SYNTHETIC_SCENARIO
EV-NAI-2023-00031,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2023-09-13,2023-09-13,1,35,SYNTHETIC_SCENARIO
EV-NAI-2023-00032,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2023-07-11,2023-07-11,1,35,SYNTHETIC_SCENARIO
EV-NAI-2023-00033,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2023-06-27,2023-06-27,1,35,SYNTHETIC_SCENARIO
EV-NAI-2023-00034,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2023-05-02,2023-05-02,1,35,SYNTHETIC_SCENARIO
EV-NAI-2023-00035,Nairobi,DATA_LATENCY_INCIDENT,LOW,2023-02-07,2023-02-07,1,0,SYNTHETIC_SCENARIO
EV-NAI-2023-00036,Nairobi,DATA_LATENCY_INCIDENT,LOW,2023-01-21,2023-01-21,1,0,SYNTHETIC_SCENARIO
EV-NAI-2024-00037,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2024-10-25,2024-10-26,2,100,SYNTHETIC_SCENARIO
EV-NAI-2024-00038,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2024-08-22,2024-08-22,1,100,SYNTHETIC_SCENARIO
EV-NAI-2024-00039,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2024-05-06,2024-05-06,1,100,SYNTHETIC_SCENARIO
EV-NAI-2024-00040,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2024-09-11,2024-09-11,1,100,SYNTHETIC_SCENARIO
EV-NAI-2024-00041,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2024-05-02,2024-05-02,1,100,SYNTHETIC_SCENARIO
EV-NAI-2024-00042,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2024-09-30,2024-09-30,1,35,SYNTHETIC_SCENARIO
EV-NAI-2024-00043,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2024-03-06,2024-03-06,1,35,SYNTHETIC_SCENARIO
EV-NAI-2024-00044,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2024-12-14,2024-12-14,1,35,SYNTHETIC_SCENARIO
EV-NAI-2024-00045,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2024-11-13,2024-11-13,1,35,SYNTHETIC_SCENARIO
EV-NAI-2024-00046,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2024-07-17,2024-07-17,1,35,SYNTHETIC_SCENARIO
EV-NAI-2024-00047,Nairobi,DATA_LATENCY_INCIDENT,LOW,2024-09-28,2024-09-28,1,0,SYNTHETIC_SCENARIO
EV-NAI-2024-00048,Nairobi,DATA_LATENCY_INCIDENT,LOW,2024-05-25,2024-05-25,1,0,SYNTHETIC_SCENARIO
EV-NAI-2025-00049,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2025-05-21,2025-05-21,1,100,SYNTHETIC_SCENARIO
EV-NAI-2025-00050,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2025-06-09,2025-06-10,2,100,SYNTHETIC_SCENARIO
EV-NAI-2025-00051,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2025-04-01,2025-04-01,1,100,SYNTHETIC_SCENARIO
EV-NAI-2025-00052,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2025-08-14,2025-08-14,1,100,SYNTHETIC_SCENARIO
EV-NAI-2025-00053,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2025-11-11,2025-11-11,1,100,SYNTHETIC_SCENARIO
EV-NAI-2025-00054,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2025-08-14,2025-08-14,1,35,SYNTHETIC_SCENARIO
EV-NAI-2025-00055,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2025-05-01,2025-05-01,1,35,SYNTHETIC_SCENARIO
EV-NAI-2025-00056,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2025-02-19,2025-02-19,1,35,SYNTHETIC_SCENARIO
EV-NAI-2025-00057,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2025-01-24,2025-01-24,1,35,SYNTHETIC_SCENARIO
EV-NAI-2025-00058,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2025-10-07,2025-10-07,1,35,SYNTHETIC_SCENARIO
EV-NAI-2025-00059,Nairobi,DATA_LATENCY_INCIDENT,LOW,2025-09-13,2025-09-13,1,0,SYNTHETIC_SCENARIO
EV-NAI-2025-00060,Nairobi,DATA_LATENCY_INCIDENT,LOW,2025-08-05,2025-08-05,1,0,SYNTHETIC_SCENARIO
EV-NAI-2026-00061,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2026-07-23,2026-07-23,1,100,SYNTHETIC_SCENARIO
EV-NAI-2026-00062,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2026-06-25,2026-06-26,2,100,SYNTHETIC_SCENARIO
EV-NAI-2026-00063,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2026-02-24,2026-02-24,1,100,SYNTHETIC_SCENARIO
EV-NAI-2026-00064,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2026-05-03,2026-05-03,1,100,SYNTHETIC_SCENARIO
EV-NAI-2026-00065,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2026-06-16,2026-06-16,1,100,SYNTHETIC_SCENARIO
EV-NAI-2026-00066,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2026-09-16,2026-09-16,1,35,SYNTHETIC_SCENARIO
EV-NAI-2026-00067,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2026-09-28,2026-09-28,1,35,SYNTHETIC_SCENARIO
EV-NAI-2026-00068,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2026-10-21,2026-10-21,1,35,SYNTHETIC_SCENARIO
EV-NAI-2026-00069,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2026-02-11,2026-02-11,1,35,SYNTHETIC_SCENARIO
EV-NAI-2026-00070,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2026-04-11,2026-04-11,1,35,SYNTHETIC_SCENARIO
EV-NAI-2026-00071,Nairobi,DATA_LATENCY_INCIDENT,LOW,2026-07-04,2026-07-04,1,0,SYNTHETIC_SCENARIO
EV-NAI-2026-00072,Nairobi,DATA_LATENCY_INCIDENT,LOW,2026-07-12,2026-07-12,1,0,SYNTHETIC_SCENARIO
EV-NAK-2021-00073,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-06-10,2021-06-11,2,100,SYNTHETIC_SCENARIO
EV-NAK-2021-00074,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-04-03,2021-04-04,2,100,SYNTHETIC_SCENARIO
EV-NAK-2021-00075,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2021-05-12,2021-05-12,1,100,SYNTHETIC_SCENARIO
EV-NAK-2021-00076,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2021-01-30,2021-01-30,1,100,SYNTHETIC_SCENARIO
EV-NAK-2021-00077,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2021-08-02,2021-08-02,1,100,SYNTHETIC_SCENARIO
EV-NAK-2021-00078,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2021-09-17,2021-09-17,1,35,SYNTHETIC_SCENARIO
EV-NAK-2021-00079,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2021-09-07,2021-09-07,1,35,SYNTHETIC_SCENARIO
EV-NAK-2021-00080,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2021-07-11,2021-07-11,1,35,SYNTHETIC_SCENARIO
EV-NAK-2021-00081,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2021-11-02,2021-11-02,1,35,SYNTHETIC_SCENARIO
EV-NAK-2021-00082,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2021-07-01,2021-07-01,1,35,SYNTHETIC_SCENARIO
EV-NAK-2021-00083,Nakuru,DATA_LATENCY_INCIDENT,LOW,2021-09-12,2021-09-12,1,0,SYNTHETIC_SCENARIO
EV-NAK-2021-00084,Nakuru,DATA_LATENCY_INCIDENT,LOW,2021-04-16,2021-04-16,1,0,SYNTHETIC_SCENARIO
EV-NAK-2022-00085,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-10-13,2022-10-13,1,100,SYNTHETIC_SCENARIO
EV-NAK-2022-00086,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-12-06,2022-12-06,1,100,SYNTHETIC_SCENARIO
EV-NAK-2022-00087,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2022-10-04,2022-10-04,1,100,SYNTHETIC_SCENARIO
EV-NAK-2022-00088,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2022-11-28,2022-11-28,1,100,SYNTHETIC_SCENARIO
EV-NAK-2022-00089,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2022-01-16,2022-01-16,1,100,SYNTHETIC_SCENARIO
EV-NAK-2022-00090,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2022-09-09,2022-09-09,1,35,SYNTHETIC_SCENARIO
EV-NAK-2022-00091,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2022-07-07,2022-07-07,1,35,SYNTHETIC_SCENARIO
EV-NAK-2022-00092,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2022-10-07,2022-10-07,1,35,SYNTHETIC_SCENARIO
EV-NAK-2022-00093,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2022-10-26,2022-10-26,1,35,SYNTHETIC_SCENARIO
EV-NAK-2022-00094,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2022-10-22,2022-10-22,1,35,SYNTHETIC_SCENARIO
EV-NAK-2022-00095,Nakuru,DATA_LATENCY_INCIDENT,LOW,2022-04-25,2022-04-25,1,0,SYNTHETIC_SCENARIO
EV-NAK-2022-00096,Nakuru,DATA_LATENCY_INCIDENT,LOW,2022-07-22,2022-07-22,1,0,SYNTHETIC_SCENARIO
EV-NAK-2023-00097,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-07-30,2023-07-31,2,100,SYNTHETIC_SCENARIO
EV-NAK-2023-00098,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-11-17,2023-11-17,1,100,SYNTHETIC_SCENARIO
EV-NAK-2023-00099,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2023-12-05,2023-12-05,1,100,SYNTHETIC_SCENARIO
EV-NAK-2023-00100,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2023-02-28,2023-02-28,1,100,SYNTHETIC_SCENARIO
EV-NAK-2023-00101,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2023-09-05,2023-09-05,1,100,SYNTHETIC_SCENARIO
EV-NAK-2023-00102,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2023-06-19,2023-06-19,1,35,SYNTHETIC_SCENARIO
EV-NAK-2023-00103,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2023-02-06,2023-02-06,1,35,SYNTHETIC_SCENARIO
EV-NAK-2023-00104,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2023-02-26,2023-02-26,1,35,SYNTHETIC_SCENARIO
EV-NAK-2023-00105,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2023-07-16,2023-07-16,1,35,SYNTHETIC_SCENARIO
EV-NAK-2023-00106,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2023-07-08,2023-07-08,1,35,SYNTHETIC_SCENARIO
EV-NAK-2023-00107,Nakuru,DATA_LATENCY_INCIDENT,LOW,2023-05-31,2023-05-31,1,0,SYNTHETIC_SCENARIO
EV-NAK-2023-00108,Nakuru,DATA_LATENCY_INCIDENT,LOW,2023-09-29,2023-09-29,1,0,SYNTHETIC_SCENARIO
EV-NAK-2024-00109,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2024-02-12,2024-02-12,1,100,SYNTHETIC_SCENARIO
EV-NAK-2024-00110,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2024-07-24,2024-07-24,1,100,SYNTHETIC_SCENARIO
EV-NAK-2024-00111,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2024-10-14,2024-10-14,1,100,SYNTHETIC_SCENARIO
EV-NAK-2024-00112,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2024-04-20,2024-04-20,1,100,SYNTHETIC_SCENARIO
EV-NAK-2024-00113,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2024-10-31,2024-10-31,1,100,SYNTHETIC_SCENARIO
EV-NAK-2024-00114,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2024-03-24,2024-03-24,1,35,SYNTHETIC_SCENARIO
EV-NAK-2024-00115,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2024-02-27,2024-02-27,1,35,SYNTHETIC_SCENARIO
EV-NAK-2024-00116,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2024-04-15,2024-04-15,1,35,SYNTHETIC_SCENARIO
EV-NAK-2024-00117,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2024-03-29,2024-03-29,1,35,SYNTHETIC_SCENARIO
EV-NAK-2024-00118,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2024-10-10,2024-10-10,1,35,SYNTHETIC_SCENARIO
EV-NAK-2024-00119,Nakuru,DATA_LATENCY_INCIDENT,LOW,2024-04-24,2024-04-24,1,0,SYNTHETIC_SCENARIO
EV-NAK-2024-00120,Nakuru,DATA_LATENCY_INCIDENT,LOW,2024-04-29,2024-04-29,1,0,SYNTHETIC_SCENARIO
EV-NAK-2025-00121,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2025-10-17,2025-10-17,1,100,SYNTHETIC_SCENARIO
EV-NAK-2025-00122,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2025-12-14,2025-12-14,1,100,SYNTHETIC_SCENARIO
EV-NAK-2025-00123,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2025-05-27,2025-05-27,1,100,SYNTHETIC_SCENARIO
EV-NAK-2025-00124,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2025-12-14,2025-12-14,1,100,SYNTHETIC_SCENARIO
EV-NAK-2025-00125,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2025-10-12,2025-10-12,1,100,SYNTHETIC_SCENARIO
EV-NAK-2025-00126,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2025-08-02,2025-08-02,1,35,SYNTHETIC_SCENARIO
EV-NAK-2025-00127,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2025-12-07,2025-12-07,1,35,SYNTHETIC_SCENARIO
EV-NAK-2025-00128,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2025-06-05,2025-06-05,1,35,SYNTHETIC_SCENARIO
EV-NAK-2025-00129,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2025-11-14,2025-11-14,1,35,SYNTHETIC_SCENARIO
EV-NAK-2025-00130,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2025-09-29,2025-09-29,1,35,SYNTHETIC_SCENARIO
EV-NAK-2025-00131,Nakuru,DATA_LATENCY_INCIDENT,LOW,2025-05-15,2025-05-15,1,0,SYNTHETIC_SCENARIO
EV-NAK-2025-00132,Nakuru,DATA_LATENCY_INCIDENT,LOW,2025-02-19,2025-02-19,1,0,SYNTHETIC_SCENARIO
EV-NAK-2026-00133,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2026-03-17,2026-03-17,1,100,SYNTHETIC_SCENARIO
EV-NAK-2026-00134,Nakuru,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2026-08-29,2026-08-29,1,100,SYNTHETIC_SCENARIO
EV-NAK-2026-00135,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2026-09-15,2026-09-15,1,100,SYNTHETIC_SCENARIO
EV-NAK-2026-00136,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2026-10-22,2026-10-22,1,100,SYNTHETIC_SCENARIO
EV-NAK-2026-00137,Nakuru,UNPLANNED_PUMP_FAILURE,HIGH,2026-05-26,2026-05-26,1,100,SYNTHETIC_SCENARIO
EV-NAK-2026-00138,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2026-05-11,2026-05-11,1,35,SYNTHETIC_SCENARIO
EV-NAK-2026-00139,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2026-09-03,2026-09-03,1,35,SYNTHETIC_SCENARIO
EV-NAK-2026-00140,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2026-11-28,2026-11-28,1,35,SYNTHETIC_SCENARIO
EV-NAK-2026-00141,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2026-07-07,2026-07-07,1,35,SYNTHETIC_SCENARIO
EV-NAK-2026-00142,Nakuru,LOADING_BAY_OUTAGE,MEDIUM,2026-11-11,2026-11-11,1,35,SYNTHETIC_SCENARIO
EV-NAK-2026-00143,Nakuru,DATA_LATENCY_INCIDENT,LOW,2026-12-13,2026-12-13,1,0,SYNTHETIC_SCENARIO
EV-NAK-2026-00144,Nakuru,DATA_LATENCY_INCIDENT,LOW,2026-09-23,2026-09-23,1,0,SYNTHETIC_SCENARIO
EV-KIS-2021-00145,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-11-23,2021-11-23,1,100,SYNTHETIC_SCENARIO
EV-KIS-2021-00146,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-04-01,2021-04-02,2,100,SYNTHETIC_SCENARIO
EV-KIS-2021-00147,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2021-11-12,2021-11-12,1,100,SYNTHETIC_SCENARIO
EV-KIS-2021-00148,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2021-01-20,2021-01-20,1,100,SYNTHETIC_SCENARIO
EV-KIS-2021-00149,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2021-08-10,2021-08-10,1,100,SYNTHETIC_SCENARIO
EV-KIS-2021-00150,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2021-07-19,2021-07-19,1,35,SYNTHETIC_SCENARIO
EV-KIS-2021-00151,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2021-03-08,2021-03-08,1,35,SYNTHETIC_SCENARIO
EV-KIS-2021-00152,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2021-11-29,2021-11-29,1,35,SYNTHETIC_SCENARIO
EV-KIS-2021-00153,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2021-05-20,2021-05-20,1,35,SYNTHETIC_SCENARIO
EV-KIS-2021-00154,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2021-10-21,2021-10-21,1,35,SYNTHETIC_SCENARIO
EV-KIS-2021-00155,Kisumu,DATA_LATENCY_INCIDENT,LOW,2021-04-04,2021-04-04,1,0,SYNTHETIC_SCENARIO
EV-KIS-2021-00156,Kisumu,DATA_LATENCY_INCIDENT,LOW,2021-03-25,2021-03-25,1,0,SYNTHETIC_SCENARIO
EV-KIS-2022-00157,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-05-29,2022-05-29,1,100,SYNTHETIC_SCENARIO
EV-KIS-2022-00158,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-06-20,2022-06-21,2,100,SYNTHETIC_SCENARIO
EV-KIS-2022-00159,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2022-05-07,2022-05-07,1,100,SYNTHETIC_SCENARIO
EV-KIS-2022-00160,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2022-09-20,2022-09-20,1,100,SYNTHETIC_SCENARIO
EV-KIS-2022-00161,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2022-09-08,2022-09-08,1,100,SYNTHETIC_SCENARIO
EV-KIS-2022-00162,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2022-07-31,2022-07-31,1,35,SYNTHETIC_SCENARIO
EV-KIS-2022-00163,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2022-04-12,2022-04-12,1,35,SYNTHETIC_SCENARIO
EV-KIS-2022-00164,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2022-08-11,2022-08-11,1,35,SYNTHETIC_SCENARIO
EV-KIS-2022-00165,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2022-07-25,2022-07-25,1,35,SYNTHETIC_SCENARIO
EV-KIS-2022-00166,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2022-04-06,2022-04-06,1,35,SYNTHETIC_SCENARIO
EV-KIS-2022-00167,Kisumu,DATA_LATENCY_INCIDENT,LOW,2022-08-13,2022-08-13,1,0,SYNTHETIC_SCENARIO
EV-KIS-2022-00168,Kisumu,DATA_LATENCY_INCIDENT,LOW,2022-06-30,2022-06-30,1,0,SYNTHETIC_SCENARIO
EV-KIS-2023-00169,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-08-06,2023-08-06,1,100,SYNTHETIC_SCENARIO
EV-KIS-2023-00170,Kisumu,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2023-07-08,2023-07-09,2,100,SYNTHETIC_SCENARIO
EV-KIS-2023-00171,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2023-06-26,2023-06-26,1,100,SYNTHETIC_SCENARIO
EV-KIS-2023-00172,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2023-09-13,2023-09-13,1,100,SYNTHETIC_SCENARIO
EV-KIS-2023-00173,Kisumu,UNPLANNED_PUMP_FAILURE,HIGH,2023-05-26,2023-05-26,1,100,SYNTHETIC_SCENARIO
EV-KIS-2023-00174,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2023-02-15,2023-02-15,1,35,SYNTHETIC_SCENARIO
EV-KIS-2023-00175,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2023-02-23,2023-02-23,1,35,SYNTHETIC_SCENARIO
EV-KIS-2023-00176,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2023-05-22,2023-05-22,1,35,SYNTHETIC_SCENARIO
EV-KIS-2023-00177,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2023-05-21,2023-05-21,1,35,SYNTHETIC_SCENARIO
EV-KIS-2023-00178,Kisumu,LOADING_BAY_OUTAGE,MEDIUM,2023-02-17,2023-02-17,1,35,SYNTHETIC_SCENARIO
EV-KIS-2023-00179,Kisumu,DATA_LATENCY_INCIDENT,LOW,2023-05-15,2023-05-15,1,0,SYNTHETIC_SCENARIO
EV-KIS-2023-00180,Kisumu,DATA_LATENCY_INCIDENT,LOW,2023-01-12,2023-01-12,1,0,SYNTHETIC_SCENARIO
