date,record_status,depot,product,trucks_requested,trucks_loaded,avg_truck_turnaround_min,queue_time_min,delayed_trucks,dispatch_m3,loading_bays_available,loading_capacity_m3,event_label
2021-03-11,SIMULATED_HISTORY,Eldoret,AGO,32,32,58.7,16.7,1,1154.67,5,4000.0,NORMAL
2021-03-12,SIMULATED_HISTORY,Eldoret,AGO,34,34,44.2,2.2,1,1216.54,5,4000.0,NORMAL
2021-03-13,SIMULATED_HISTORY,Eldoret,AGO,28,28,65.8,23.8,1,992.64,5,4000.0,NORMAL
2021-03-14,SIMULATED_HISTORY,Eldoret,AGO,28,28,61.1,19.1,1,991.75,5,4000.0,NORMAL
2021-03-15,SIMULATED_HISTORY,Eldoret,AGO,29,29,50.8,8.8,1,1045.86,5,4000.0,NORMAL
2021-03-16,SIMULATED_HISTORY,Eldoret,AGO,31,31,51.6,9.6,1,1124.63,5,4000.0,NORMAL
2021-03-17,SIMULATED_HISTORY,Eldoret,AGO,33,33,55.2,13.2,1,1171.12,5,4000.0,NORMAL
2021-03-18,SIMULATED_HISTORY,Eldoret,AGO,29,29,51.6,9.6,1,1030.45,5,4000.0,NORMAL
2021-03-19,SIMULATED_HISTORY,Eldoret,AGO,34,34,55.0,13.0,1,1209.77,5,4000.0,NORMAL
2021-03-20,SIMULATED_HISTORY,Eldoret,AGO,29,29,42.0,0.0,1,1054.34,5,4000.0,NORMAL
2021-03-21,SIMULATED_HISTORY,Eldoret,AGO,25,25,59.4,17.4,0,905.18,5,4000.0,NORMAL
2021-03-22,SIMULATED_HISTORY,Eldoret,AGO,30,30,55.1,13.1,1,1071.3,5,4000.0,NORMAL
2021-03-23,SIMULATED_HISTORY,Eldoret,AGO,35,35,56.8,14.8,1,1237.92,5,4000.0,NORMAL
2021-03-24,SIMULATED_HISTORY,Eldoret,AGO,31,31,113.3,71.3,8,1096.14,4,3200.0,LOADING_BAY_OUTAGE
2021-03-25,SIMULATED_HISTORY,Eldoret,AGO,33,33,53.0,11.0,1,1167.23,5,4000.0,NORMAL
2021-03-26,SIMULATED_HISTORY,Eldoret,AGO,35,35,41.6,0.0,1,1255.67,5,4000.0,NORMAL
2021-03-27,SIMULATED_HISTORY,Eldoret,AGO,32,32,62.8,20.8,1,1130.56,5,4000.0,UNPLANNED_PUMP_FAILURE
2021-03-28,SIMULATED_HISTORY,Eldoret,AGO,25,25,41.4,0.0,0,896.55,5,4000.0,NORMAL
2021-03-29,SIMULATED_HISTORY,Eldoret,AGO,30,30,58.8,16.8,1,1083.68,5,4000.0,NORMAL
2021-03-30,SIMULATED_HISTORY,Eldoret,AGO,32,32,72.7,30.7,3,1141.27,5,4000.0,NORMAL
2021-03-31,SIMULATED_HISTORY,Eldoret,AGO,34,34,56.4,14.4,1,1203.76,5,4000.0,NORMAL
2021-04-01,SIMULATED_HISTORY,Eldoret,AGO,32,32,51.6,9.6,1,1130.98,5,4000.0,NORMAL
2021-04-02,SIMULATED_HISTORY,Eldoret,AGO,32,32,50.7,8.7,1,1149.25,5,4000.0,NORMAL
2021-04-03,SIMULATED_HISTORY,Eldoret,AGO,30,30,57.1,15.1,1,1062.07,5,4000.0,NORMAL
2021-04-04,SIMULATED_HISTORY,Eldoret,AGO,25,25,55.4,13.4,0,887.44,5,4000.0,NORMAL
2021-04-05,SIMULATED_HISTORY,Eldoret,AGO,32,32,53.9,11.9,1,1136.95,5,4000.0,NORMAL
2021-04-06,SIMULATED_HISTORY,Eldoret,AGO,31,31,54.1,12.1,1,1118.56,5,4000.0,NORMAL
2021-04-07,SIMULATED_HISTORY,Eldoret,AGO,32,32,50.4,8.4,1,1146.2,5,4000.0,NORMAL
2021-04-08,SIMULATED_HISTORY,Eldoret,AGO,32,32,55.8,13.8,1,1135.53,5,4000.0,NORMAL
2021-04-09,SIMULATED_HISTORY,Eldoret,AGO,35,35,65.7,23.7,2,1243.43,5,4000.0,NORMAL
2021-04-10,SIMULATED_HISTORY,Eldoret,AGO,32,32,50.2,8.2,1,1135.92,5,4000.0,NORMAL
2021-04-11,SIMULATED_HISTORY,Eldoret,AGO,26,26,53.0,11.0,1,921.22,5,4000.0,NORMAL
2021-04-12,SIMULATED_HISTORY,Eldoret,AGO,30,30,54.2,12.2,1,1077.74,5,4000.0,NORMAL
2021-04-13,SIMULATED_HISTORY,Eldoret,AGO,35,35,65.1,23.1,2,1237.92,5,4000.0,NORMAL
2021-04-14,SIMULATED_HISTORY,Eldoret,AGO,32,32,48.3,6.3,1,1137.17,5,4000.0,NORMAL
2021-04-15,SIMULATED_HISTORY,Eldoret,AGO,31,31,55.8,13.8,1,1102.6,5,4000.0,NORMAL
2021-04-16,SIMULATED_HISTORY,Eldoret,AGO,30,30,59.0,17.0,1,1076.7,5,4000.0,NORMAL
2021-04-17,SIMULATED_HISTORY,Eldoret,AGO,30,30,60.3,18.3,1,1058.3,5,4000.0,NORMAL
2021-04-18,SIMULATED_HISTORY,Eldoret,AGO,26,26,66.2,24.2,1,935.48,5,4000.0,NORMAL
2021-04-19,SIMULATED_HISTORY,Eldoret,AGO,29,29,52.9,10.9,1,1030.15,5,4000.0,NORMAL
2021-04-20,SIMULATED_HISTORY,Eldoret,AGO,33,33,63.1,21.1,1,1170.24,5,4000.0,NORMAL
2021-04-21,SIMULATED_HISTORY,Eldoret,AGO,32,32,41.2,0.0,1,1141.07,5,4000.0,NORMAL
2021-04-22,SIMULATED_HISTORY,Eldoret,AGO,33,33,60.6,18.6,1,1182.01,5,4000.0,NORMAL
2021-04-23,SIMULATED_HISTORY,Eldoret,AGO,35,35,51.8,9.8,1,1261.23,5,4000.0,NORMAL
2021-04-24,SIMULATED_HISTORY,Eldoret,AGO,29,29,49.8,7.8,1,1024.2,5,4000.0,NORMAL
2021-04-25,SIMULATED_HISTORY,Eldoret,AGO,24,24,49.0,7.0,0,870.3,5,4000.0,NORMAL
2021-04-26,SIMULATED_HISTORY,Eldoret,AGO,33,33,62.3,20.3,1,1184.08,5,4000.0,NORMAL
2021-04-27,SIMULATED_HISTORY,Eldoret,AGO,35,35,67.2,25.2,2,1253.48,5,4000.0,NORMAL
2021-04-28,SIMULATED_HISTORY,Eldoret,AGO,31,31,70.6,28.6,2,1096.92,5,4000.0,NORMAL
2021-04-29,SIMULATED_HISTORY,Eldoret,AGO,30,30,54.2,12.2,1,1082.65,5,4000.0,NORMAL
2021-04-30,SIMULATED_HISTORY,Eldoret,AGO,29,29,54.8,12.8,1,1048.29,5,4000.0,NORMAL
2021-05-01,SIMULATED_HISTORY,Eldoret,AGO,29,29,60.9,18.9,1,1052.1,5,4000.0,NORMAL
2021-05-02,SIMULATED_HISTORY,Eldoret,AGO,28,28,53.6,11.6,1,999.38,5,4000.0,NORMAL
2021-05-03,SIMULATED_HISTORY,Eldoret,AGO,33,33,44.3,2.3,1,1176.23,5,4000.0,NORMAL
2021-05-04,SIMULATED_HISTORY,Eldoret,AGO,34,34,64.7,22.7,2,1213.38,5,4000.0,NORMAL
2021-05-05,SIMULATED_HISTORY,Eldoret,AGO,32,32,66.1,24.1,2,1156.04,5,4000.0,NORMAL
2021-05-06,SIMULATED_HISTORY,Eldoret,AGO,36,36,57.6,15.6,1,1293.81,5,4000.0,NORMAL
2021-05-07,SIMULATED_HISTORY,Eldoret,AGO,37,37,46.1,4.1,1,1321.73,5,4000.0,NORMAL
2021-05-08,SIMULATED_HISTORY,Eldoret,AGO,28,28,55.7,13.7,1,1000.54,5,4000.0,NORMAL
2021-05-09,SIMULATED_HISTORY,Eldoret,AGO,27,27,46.5,4.5,1,957.38,5,4000.0,NORMAL
2021-05-10,SIMULATED_HISTORY,Eldoret,AGO,29,29,53.7,11.7,1,1023.76,5,4000.0,NORMAL
2021-05-11,SIMULATED_HISTORY,Eldoret,AGO,28,28,53.6,11.6,1,1010.49,5,4000.0,NORMAL
2021-05-12,SIMULATED_HISTORY,Eldoret,AGO,31,31,58.7,16.7,1,1104.96,5,4000.0,NORMAL
2021-05-13,SIMULATED_HISTORY,Eldoret,AGO,29,29,53.3,11.3,1,1031.94,5,4000.0,NORMAL
2021-05-14,SIMULATED_HISTORY,Eldoret,AGO,32,32,58.3,16.3,1,1150.87,5,4000.0,NORMAL
2021-05-15,SIMULATED_HISTORY,Eldoret,AGO,27,27,53.9,11.9,1,972.77,5,4000.0,NORMAL
2021-05-16,SIMULATED_HISTORY,Eldoret,AGO,24,24,57.4,15.4,0,853.55,5,4000.0,NORMAL
2021-05-17,SIMULATED_HISTORY,Eldoret,AGO,29,29,51.1,9.1,1,1034.11,5,4000.0,NORMAL
2021-05-18,SIMULATED_HISTORY,Eldoret,AGO,33,33,57.9,15.9,1,1173.03,5,4000.0,NORMAL
2021-05-19,SIMULATED_HISTORY,Eldoret,AGO,32,32,46.7,4.7,1,1140.96,5,4000.0,NORMAL
2021-05-20,SIMULATED_HISTORY,Eldoret,AGO,32,32,48.4,6.4,1,1148.67,5,4000.0,NORMAL
2021-05-21,SIMULATED_HISTORY,Eldoret,AGO,34,34,51.0,9.0,1,1208.35,5,4000.0,NORMAL
2021-05-22,SIMULATED_HISTORY,Eldoret,AGO,28,28,49.8,7.8,1,1001.55,5,4000.0,NORMAL
2021-05-23,SIMULATED_HISTORY,Eldoret,AGO,26,26,60.4,18.4,1,934.28,5,4000.0,NORMAL
2021-05-24,SIMULATED_HISTORY,Eldoret,AGO,30,30,46.6,4.6,1,1089.23,5,4000.0,NORMAL
2021-05-25,SIMULATED_HISTORY,Eldoret,AGO,31,31,56.1,14.1,1,1093.72,5,4000.0,NORMAL
2021-05-26,SIMULATED_HISTORY,Eldoret,AGO,31,31,65.3,23.3,1,1094.33,5,4000.0,NORMAL
2021-05-27,SIMULATED_HISTORY,Eldoret,AGO,31,31,49.1,7.1,1,1100.52,5,4000.0,NORMAL
2021-05-28,SIMULATED_HISTORY,Eldoret,AGO,35,35,49.4,7.4,1,1268.23,5,4000.0,NORMAL
2021-05-29,SIMULATED_HISTORY,Eldoret,AGO,28,28,60.3,18.3,1,1012.98,5,4000.0,NORMAL
2021-05-30,SIMULATED_HISTORY,Eldoret,AGO,29,29,57.3,15.3,1,1036.29,5,4000.0,NORMAL
2021-05-31,SIMULATED_HISTORY,Eldoret,AGO,30,30,57.4,15.4,1,1076.77,5,4000.0,NORMAL
2021-06-01,SIMULATED_HISTORY,Eldoret,AGO,30,30,48.9,6.9,1,1059.31,5,4000.0,NORMAL
2021-06-02,SIMULATED_HISTORY,Eldoret,AGO,31,31,55.3,13.3,1,1108.8,5,4000.0,NORMAL
2021-06-03,SIMULATED_HISTORY,Eldoret,AGO,31,31,64.2,22.2,1,1124.91,5,4000.0,NORMAL
2021-06-04,SIMULATED_HISTORY,Eldoret,AGO,29,29,54.8,12.8,1,1023.93,5,4000.0,NORMAL
2021-06-05,SIMULATED_HISTORY,Eldoret,AGO,27,27,45.5,3.5,1,954.05,5,4000.0,NORMAL
2021-06-06,SIMULATED_HISTORY,Eldoret,AGO,26,26,58.2,16.2,1,927.83,5,4000.0,NORMAL
2021-06-07,SIMULATED_HISTORY,Eldoret,AGO,26,26,50.0,8.0,1,930.31,5,4000.0,NORMAL
2021-06-08,SIMULATED_HISTORY,Eldoret,AGO,29,29,43.7,1.7,1,1032.06,5,4000.0,NORMAL
2021-06-09,SIMULATED_HISTORY,Eldoret,AGO,31,31,66.0,24.0,2,1121.72,5,4000.0,NORMAL
2021-06-10,SIMULATED_HISTORY,Eldoret,AGO,29,29,57.7,15.7,1,1029.62,5,4000.0,NORMAL
2021-06-11,SIMULATED_HISTORY,Eldoret,AGO,30,30,54.6,12.6,1,1068.1,5,4000.0,NORMAL
2021-06-12,SIMULATED_HISTORY,Eldoret,AGO,24,24,54.0,12.0,0,866.04,5,4000.0,NORMAL
2021-06-13,SIMULATED_HISTORY,Eldoret,AGO,26,26,42.2,0.2,1,929.65,5,4000.0,NORMAL
2021-06-14,SIMULATED_HISTORY,Eldoret,AGO,31,31,43.5,1.5,1,1091.56,5,4000.0,NORMAL
2021-06-15,SIMULATED_HISTORY,Eldoret,AGO,28,28,51.7,9.7,1,1004.18,5,4000.0,NORMAL
2021-06-16,SIMULATED_HISTORY,Eldoret,AGO,29,29,43.4,1.4,1,1037.93,5,4000.0,NORMAL
2021-06-17,SIMULATED_HISTORY,Eldoret,AGO,30,30,45.3,3.3,1,1076.48,5,4000.0,NORMAL
2021-06-18,SIMULATED_HISTORY,Eldoret,AGO,35,35,66.5,24.5,2,1272.44,5,4000.0,NORMAL
2021-06-19,SIMULATED_HISTORY,Eldoret,AGO,28,28,56.2,14.2,1,1017.16,5,4000.0,NORMAL
2021-06-20,SIMULATED_HISTORY,Eldoret,AGO,26,26,47.4,5.4,1,933.11,5,4000.0,NORMAL
2021-06-21,SIMULATED_HISTORY,Eldoret,AGO,30,30,57.8,15.8,1,1059.19,5,4000.0,NORMAL
2021-06-22,SIMULATED_HISTORY,Eldoret,AGO,29,29,56.8,14.8,1,1028.45,5,4000.0,NORMAL
2021-06-23,SIMULATED_HISTORY,Eldoret,AGO,29,29,64.8,22.8,1,1052.9,5,4000.0,NORMAL
2021-06-24,SIMULATED_HISTORY,Eldoret,AGO,29,29,43.3,1.3,1,1038.7,5,4000.0,NORMAL
2021-06-25,SIMULATED_HISTORY,Eldoret,AGO,32,32,55.0,13.0,1,1135.99,5,4000.0,NORMAL
2021-06-26,SIMULATED_HISTORY,Eldoret,AGO,27,27,49.8,7.8,1,961.6,5,4000.0,NORMAL
2021-06-27,SIMULATED_HISTORY,Eldoret,AGO,26,26,60.4,18.4,1,923.61,5,4000.0,NORMAL
2021-06-28,SIMULATED_HISTORY,Eldoret,AGO,28,28,58.8,16.8,1,984.45,5,4000.0,NORMAL
2021-06-29,SIMULATED_HISTORY,Eldoret,AGO,29,29,57.2,15.2,1,1049.36,5,4000.0,NORMAL
2021-06-30,SIMULATED_HISTORY,Eldoret,AGO,30,30,65.0,23.0,1,1070.82,5,4000.0,NORMAL
2021-07-01,SIMULATED_HISTORY,Eldoret,AGO,28,28,54.0,12.0,1,1005.92,5,4000.0,NORMAL
2021-07-02,SIMULATED_HISTORY,Eldoret,AGO,34,34,44.9,2.9,1,1228.98,5,4000.0,NORMAL
2021-07-03,SIMULATED_HISTORY,Eldoret,AGO,29,29,54.6,12.6,1,1020.32,5,4000.0,NORMAL
2021-07-04,SIMULATED_HISTORY,Eldoret,AGO,24,24,53.9,11.9,0,851.56,5,4000.0,NORMAL
2021-07-05,SIMULATED_HISTORY,Eldoret,AGO,33,33,60.8,18.8,1,1171.24,5,4000.0,NORMAL
2021-07-06,SIMULATED_HISTORY,Eldoret,AGO,31,31,44.4,2.4,1,1103.53,5,4000.0,NORMAL
2021-07-07,SIMULATED_HISTORY,Eldoret,AGO,31,31,49.0,7.0,1,1094.74,5,4000.0,NORMAL
2021-07-08,SIMULATED_HISTORY,Eldoret,AGO,28,28,46.4,4.4,1,1017.69,5,4000.0,NORMAL
2021-07-09,SIMULATED_HISTORY,Eldoret,AGO,33,33,61.5,19.5,1,1184.28,5,4000.0,NORMAL
2021-07-10,SIMULATED_HISTORY,Eldoret,AGO,31,31,67.1,25.1,2,1093.04,5,4000.0,NORMAL
2021-07-11,SIMULATED_HISTORY,Eldoret,AGO,27,27,55.5,13.5,1,950.17,5,4000.0,NORMAL
2021-07-12,SIMULATED_HISTORY,Eldoret,AGO,32,32,52.4,10.4,1,1159.16,5,4000.0,NORMAL
2021-07-13,SIMULATED_HISTORY,Eldoret,AGO,30,30,53.3,11.3,1,1075.9,5,4000.0,NORMAL
2021-07-14,SIMULATED_HISTORY,Eldoret,AGO,29,29,53.7,11.7,1,1030.12,5,4000.0,NORMAL
2021-07-15,SIMULATED_HISTORY,Eldoret,AGO,35,35,56.5,14.5,1,1254.88,5,4000.0,NORMAL
2021-07-16,SIMULATED_HISTORY,Eldoret,AGO,33,33,55.1,13.1,1,1179.29,5,4000.0,NORMAL
2021-07-17,SIMULATED_HISTORY,Eldoret,AGO,28,28,63.8,21.8,1,997.82,5,4000.0,NORMAL
2021-07-18,SIMULATED_HISTORY,Eldoret,AGO,25,25,38.7,0.0,0,898.45,5,4000.0,NORMAL
2021-07-19,SIMULATED_HISTORY,Eldoret,AGO,31,31,61.3,19.3,1,1125.37,5,4000.0,NORMAL
2021-07-20,SIMULATED_HISTORY,Eldoret,AGO,36,36,68.0,26.0,2,1284.4,5,4000.0,NORMAL
2021-07-21,SIMULATED_HISTORY,Eldoret,AGO,33,33,69.6,27.6,2,1170.12,5,4000.0,NORMAL
2021-07-22,SIMULATED_HISTORY,Eldoret,AGO,31,31,64.9,22.9,1,1110.38,5,4000.0,NORMAL
2021-07-23,SIMULATED_HISTORY,Eldoret,AGO,32,32,54.4,12.4,1,1140.08,5,4000.0,NORMAL
2021-07-24,SIMULATED_HISTORY,Eldoret,AGO,30,30,66.2,24.2,2,1072.27,5,4000.0,NORMAL
2021-07-25,SIMULATED_HISTORY,Eldoret,AGO,26,26,62.7,20.7,1,918.79,5,4000.0,NORMAL
2021-07-26,SIMULATED_HISTORY,Eldoret,AGO,33,33,60.2,18.2,1,1168.93,5,4000.0,NORMAL
2021-07-27,SIMULATED_HISTORY,Eldoret,AGO,32,32,47.0,5.0,1,1147.21,5,4000.0,NORMAL
2021-07-28,SIMULATED_HISTORY,Eldoret,AGO,31,31,52.0,10.0,1,1115.11,5,4000.0,NORMAL
2021-07-29,SIMULATED_HISTORY,Eldoret,AGO,30,30,53.4,11.4,1,1060.7,5,4000.0,NORMAL
2021-07-30,SIMULATED_HISTORY,Eldoret,AGO,34,34,77.1,35.1,3,1225.07,5,4000.0,NORMAL
2021-07-31,SIMULATED_HISTORY,Eldoret,AGO,28,28,63.2,21.2,1,988.57,5,4000.0,NORMAL
2021-08-01,SIMULATED_HISTORY,Eldoret,AGO,26,26,54.3,12.3,1,931.81,5,4000.0,NORMAL
2021-08-02,SIMULATED_HISTORY,Eldoret,AGO,32,32,48.3,6.3,1,1132.57,5,4000.0,NORMAL
2021-08-03,SIMULATED_HISTORY,Eldoret,AGO,32,32,54.7,12.7,1,1127.91,5,4000.0,NORMAL
2021-08-04,SIMULATED_HISTORY,Eldoret,AGO,32,32,56.1,14.1,1,1160.01,5,4000.0,NORMAL
2021-08-05,SIMULATED_HISTORY,Eldoret,AGO,33,33,61.7,19.7,1,1183.47,5,4000.0,NORMAL
2021-08-06,SIMULATED_HISTORY,Eldoret,AGO,36,36,57.3,15.3,1,1280.08,5,4000.0,NORMAL
2021-08-07,SIMULATED_HISTORY,Eldoret,AGO,30,30,49.4,7.4,1,1070.89,5,4000.0,NORMAL
2021-08-08,SIMULATED_HISTORY,Eldoret,AGO,25,25,54.7,12.7,0,895.99,5,4000.0,NORMAL
2021-08-09,SIMULATED_HISTORY,Eldoret,AGO,31,31,55.6,13.6,1,1121.53,5,4000.0,NORMAL
2021-08-10,SIMULATED_HISTORY,Eldoret,AGO,32,32,56.0,14.0,1,1146.82,5,4000.0,NORMAL
