control_event_id,date,record_status,depot,product,stock_status,event_label,opening_stock_m3,customer_orders_m3,closing_stock_m3,days_of_cover,batch_triggered,batch_volume_m3,emergency_replenishment,autonomous_action
CP-0000016,2021-03-15,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9607.81,1045.86,8561.95,8.19,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000017,2021-03-22,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10226.47,1071.3,9155.17,8.55,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000018,2021-03-24,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,7917.25,1096.14,14981.11,13.67,0,0.0,0,NONE
CP-0000019,2021-03-27,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,12558.22,1130.56,11427.66,10.11,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000020,2021-03-30,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9447.43,1141.27,8306.16,7.28,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000021,2021-04-06,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9895.71,1118.56,8777.15,7.85,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000022,2021-04-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10277.12,1237.92,9039.2,7.3,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000023,2021-04-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9688.56,1141.07,8547.49,7.49,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000024,2021-04-28,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9932.2,1096.92,8835.27,8.05,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000025,2021-05-05,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10423.25,1156.04,9267.21,8.02,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000026,2021-05-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9714.54,1031.94,8682.6,8.41,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000027,2021-05-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10517.31,1148.67,9368.64,8.16,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000028,2021-05-28,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10006.66,1268.23,8738.44,6.89,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000029,2021-06-05,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9455.45,954.05,8501.4,8.91,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000030,2021-06-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9685.72,929.65,8756.07,9.42,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000031,2021-06-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9483.21,1059.19,8424.02,7.95,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000032,2021-06-29,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9458.31,1049.36,8408.95,8.01,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000033,2021-07-06,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10220.11,1103.53,9116.58,8.26,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000034,2021-07-14,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9701.59,1030.12,8671.46,8.42,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000035,2021-07-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10091.26,1170.12,8921.14,7.62,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000036,2021-07-28,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10523.48,1115.11,9408.37,8.44,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000037,2021-08-05,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9941.73,1183.47,8758.26,7.4,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000038,2021-08-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10304.1,1152.97,9151.13,7.94,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000039,2021-08-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9862.21,1018.13,8844.08,8.69,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000040,2021-08-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10629.61,1210.05,9419.56,7.78,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000041,2021-09-04,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9802.1,1016.3,8785.8,8.64,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000042,2021-09-11,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10211.31,1048.47,9162.84,8.74,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000043,2021-09-19,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9724.71,995.97,8728.74,8.76,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000044,2021-09-26,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9824.25,999.59,8824.66,8.83,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000045,2021-10-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9783.24,1054.66,8728.58,8.28,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000046,2021-10-09,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10145.75,1307.69,8838.06,6.76,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000047,2021-10-14,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,12133.32,1340.44,10792.88,8.05,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000048,2021-10-16,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9574.63,1224.23,8350.4,6.82,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000049,2021-10-20,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,12706.64,1338.5,11368.14,8.49,0,0.0,0,NONE
CP-0000050,2021-10-22,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10027.79,1348.02,8679.77,6.44,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000051,2021-10-28,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10564.28,1394.2,9170.08,6.58,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000052,2021-11-04,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10465.58,1055.72,9409.86,8.91,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000053,2021-11-11,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,11088.54,1347.99,9740.55,7.23,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000054,2021-11-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,PLANNED_PIPELINE_MAINTENANCE,9740.55,1188.95,8551.6,7.19,1,8160.0,0,CREATE_PIPELINE_BATCH+OUTAGE
CP-0000055,2021-11-19,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10250.98,1190.95,9060.02,7.61,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000056,2021-11-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9691.95,1101.3,8590.65,7.8,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000057,2021-12-04,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9972.22,1145.52,8826.7,7.71,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000058,2021-12-06,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,7835.24,1043.27,14951.98,14.33,0,0.0,0,NONE
CP-0000059,2021-12-11,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10363.59,1021.04,9342.55,9.15,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000060,2021-12-19,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9704.31,985.73,8718.58,8.84,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000061,2021-12-26,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10184.35,912.9,9271.44,10.16,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000062,2022-01-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9835.92,1241.65,8594.28,6.92,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000063,2022-01-10,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9572.36,1176.43,8395.93,7.14,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000064,2022-01-17,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9613.7,1222.43,8391.27,6.86,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000065,2022-01-24,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9684.86,1178.85,8506.0,7.22,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000066,2022-01-31,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9946.55,1218.77,8727.78,7.16,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000067,2022-02-07,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10368.47,1008.54,9359.92,9.28,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000068,2022-02-08,SIMULATED_HISTORY,Eldoret,AGO,WATCH,LOADING_BAY_OUTAGE,9359.92,1118.1,8241.83,7.37,0,0.0,0,NONE
CP-0000069,2022-02-10,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,15293.39,1112.22,14181.17,12.75,0,0.0,0,NONE
CP-0000070,2022-02-15,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9917.25,1133.7,8783.55,7.75,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000071,2022-02-23,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9713.63,1137.2,8576.43,7.54,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000072,2022-02-25,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,7446.16,1076.12,14530.04,13.5,0,0.0,0,NONE
CP-0000073,2022-02-28,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,12487.09,1053.87,11433.22,10.85,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000074,2022-03-02,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10310.72,1224.63,9086.09,7.42,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000075,2022-03-10,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9470.58,1109.68,8360.9,7.53,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000076,2022-03-17,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9802.65,1267.22,8535.44,6.74,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000077,2022-03-24,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9738.4,1127.81,8610.59,7.63,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000078,2022-03-25,SIMULATED_HISTORY,Eldoret,AGO,WATCH,UNPLANNED_PUMP_FAILURE,8610.59,1225.78,7384.81,6.02,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000079,2022-03-31,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9868.42,1225.53,8642.89,7.05,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000080,2022-04-07,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10080.4,1234.11,8846.29,7.17,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000081,2022-04-14,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10274.13,1146.42,9127.71,7.96,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000082,2022-04-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10480.39,1208.36,9272.03,7.67,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000083,2022-04-28,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,10766.31,1246.46,9519.86,7.64,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000084,2022-04-29,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9519.86,1185.07,8334.79,7.03,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000085,2022-05-06,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9448.52,1308.11,8140.41,6.22,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000086,2022-05-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,LOADING_BAY_OUTAGE,9688.36,1285.87,8402.48,6.53,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000087,2022-05-17,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,13315.51,1275.28,12040.22,9.44,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000088,2022-05-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9594.07,1166.58,8427.49,7.22,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000089,2022-05-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10016.14,1262.83,8753.3,6.93,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000090,2022-06-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10342.62,1136.85,9205.77,8.1,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000091,2022-06-11,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9628.82,1039.09,8589.73,8.27,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000092,2022-06-17,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,11236.98,1143.56,10093.41,8.83,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000093,2022-06-18,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10093.41,1048.64,9044.77,8.63,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000094,2022-06-26,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9656.15,982.23,8673.92,8.83,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000095,2022-07-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10013.03,916.9,9096.13,9.92,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000096,2022-07-10,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10056.25,1082.52,8973.73,8.29,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000097,2022-07-17,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10346.81,997.28,9349.53,9.38,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000098,2022-07-22,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,DATA_LATENCY_INCIDENT,12670.06,1149.61,11520.45,10.02,0,0.0,0,NONE
CP-0000099,2022-07-25,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9622.42,1103.24,8519.18,7.72,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000100,2022-08-01,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10085.22,1218.54,8866.68,7.28,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000101,2022-08-08,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10219.92,1214.29,9005.62,7.42,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000102,2022-08-15,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10578.1,1241.78,9336.32,7.52,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000103,2022-08-23,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9606.57,1097.74,8508.83,7.75,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000104,2022-08-30,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9960.38,1162.34,8798.04,7.57,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000105,2022-09-06,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9946.85,1208.87,8737.97,7.23,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000106,2022-09-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9674.13,1218.21,8455.93,6.94,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000107,2022-09-18,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,DATA_LATENCY_INCIDENT,11895.81,1005.32,10890.49,10.83,0,0.0,0,NONE
CP-0000108,2022-09-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9652.43,1193.67,8458.76,7.09,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000109,2022-09-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9674.21,1279.25,8394.96,6.56,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000110,2022-10-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10163.53,1323.76,8839.77,6.68,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000111,2022-10-09,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9955.88,1161.17,8794.71,7.57,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000112,2022-10-15,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10182.63,1312.39,8870.24,6.76,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000113,2022-10-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10368.79,1279.47,9089.32,7.1,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000114,2022-10-25,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,13549.78,1464.73,12085.05,8.25,0,0.0,0,NONE
CP-0000115,2022-10-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10667.62,1443.44,9224.18,6.39,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000116,2022-11-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9530.96,1166.98,8363.99,7.17,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000117,2022-11-10,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9759.1,1188.64,8570.46,7.21,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000118,2022-11-17,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9860.42,1250.18,8610.24,6.89,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000119,2022-11-24,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10028.69,1216.76,8811.92,7.24,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000120,2022-12-01,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10114.72,1185.19,8929.53,7.53,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000121,2022-12-08,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10569.54,1237.62,9331.93,7.54,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000122,2022-12-15,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10393.46,1134.87,9258.59,8.16,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000123,2022-12-23,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9505.38,1359.57,8145.81,5.99,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000124,2022-12-30,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9551.46,1145.5,8405.96,7.34,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000125,2023-01-06,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9834.57,1219.68,8614.89,7.06,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000126,2023-01-13,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9792.31,1233.81,8558.5,6.94,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000127,2023-01-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10010.43,1393.56,8616.88,6.18,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000128,2023-01-25,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,12302.76,1135.95,11166.81,9.83,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000129,2023-01-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9990.74,1391.84,8598.89,6.18,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000130,2023-02-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10259.61,1090.58,9169.03,8.41,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000131,2023-02-11,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10212.27,1028.18,9184.09,8.93,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000132,2023-02-19,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10015.83,938.31,9077.52,9.67,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000133,2023-02-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10018.84,1002.24,9016.6,9.0,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000134,2023-03-07,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9471.57,1046.29,8425.27,8.05,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000135,2023-03-14,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10176.46,1078.93,9097.53,8.43,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000136,2023-03-18,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,13627.08,1023.6,12603.49,12.31,0,0.0,0,NONE
CP-0000137,2023-03-21,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10410.33,1034.75,9375.58,9.06,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000138,2023-03-29,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9748.91,1187.71,8561.2,7.21,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000139,2023-04-05,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10200.42,1250.22,8950.2,7.16,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000140,2023-04-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,UNPLANNED_PUMP_FAILURE,10345.03,979.16,9365.87,9.57,1,8160.0,0,CREATE_PIPELINE_BATCH+OUTAGE
CP-0000141,2023-04-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9743.03,1312.19,8430.84,6.43,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000142,2023-04-23,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,DATA_LATENCY_INCIDENT,14394.64,854.73,13539.91,15.84,0,0.0,0,NONE
CP-0000143,2023-04-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10416.94,1139.28,9277.66,8.14,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000144,2023-05-04,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10530.93,1226.38,9304.54,7.59,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000145,2023-05-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9705.2,1130.5,8574.7,7.58,1,8160.0,0,CREATE_PIPELINE_BATCH
